axis_group,base_id,best_valid_mrr20,bias_mode,candidate_id,cold_item_count,cold_item_mrr20,combo_id,concept_id,concept_name,d_expert_hidden,d_ff,d_router_hidden,dataset,diag_available,diag_cv_usage,diag_entropy_mean,diag_family_top_expert_mean_share,diag_n_eff,diag_route_consistency_group_knn_js,diag_route_consistency_group_knn_score,diag_route_consistency_intra_group_knn_mean_js,diag_route_consistency_intra_group_knn_mean_score,diag_route_consistency_knn_js,diag_route_consistency_knn_score,diag_route_jitter_adjacent,diag_source_row_count,diag_top1_max_frac,embedding_size,fixed_hidden_dropout_prob,fixed_weight_decay,hvar_id,is_main_eligible,main_aux,n_completed,pass_tag,phase_tag,run_dir,run_phase,seed_id,sess_1_2_count,sess_1_2_mrr20,sess_3_5_count,sess_3_5_mrr20,setting_id,source_profile,special_available,special_test_overall_hit20,special_test_overall_mrr20,stage,status,support_aux,test_hr10,test_mrr20,timestamp,topk_profile,wrapper_combo
C0,B1,0.0806,bias_rule,,6890,0.11906205614588085,N1,C0,Natural,,,,KuaiRecLargeStrictPosV2_0.2,1,0.1420567701143989,2.2843281075560387,0.11168850213289261,11.762628212802184,0.003067099477827194,0.9969375992667097,0.004522919422224298,0.9954890509372936,0.007397842372018924,0.992629454310201,0.5195907540735127,1,0.16296952571442636,,,,,1,none,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c0_n1_s1_20260321_180957_474535_pid242067,P9_B1_C0_N1_S1,1,17,0.029411764705882353,9383,0.14996033310405826,B1_C0_N1,src_base,1,0.21787606420833444,0.16111897357824861,,completed,none,0.1881,0.1611,2026-03-21T19:32:13.572903,,all_w2
C0,B1,0.0807,bias_rule,,6890,0.11922275657902089,N2,C0,Natural,,,,KuaiRecLargeStrictPosV2_0.2,1,0.1551527276862752,2.3022284826466497,0.11060620844364166,11.717923453128472,0.002607320747095839,0.9973960753614207,0.003435844095263399,0.9965723420195377,0.005885680386627923,0.9941316062989158,0.2833233507315821,1,0.2212557079157969,,,,,1,route_smoothness,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c0_n2_s1_20260321_180957_297549_pid242068,P9_B1_C0_N2_S1,1,17,0.014705882352941176,9383,0.15044397180581365,B1_C0_N2,src_base,1,0.21811328711879596,0.16123017301006418,,completed,none,0.1881,0.1612,2026-03-21T19:41:03.424198,,all_w2
C0,B1,0.0806,bias_rule,,6890,0.11903076026323745,N3,C0,Natural,,,,KuaiRecLargeStrictPosV2_0.2,1,0.12481977789519894,2.283187844055042,0.10386912524700165,11.815908168538446,0.003189650085378401,0.9968154314442522,0.004545097467762389,0.9954668385156002,0.007624272473797341,0.9924047185662621,0.5246244300749306,1,0.19044582709685504,,,,,1,balance,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c0_n3_s1_20260321_180957_479570_pid242069,P9_B1_C0_N3_S1,1,17,0.019607843721614164,9383,0.15019724874907206,B1_C0_N3,src_base,1,0.21877223964785578,0.16115270437876825,,completed,z,0.1881,0.1612,2026-03-21T19:50:51.713556,,all_w2
C0,B1,0.0809,bias_rule,,6890,0.11707456028318716,N4,C0,Natural,,,,KuaiRecLargeStrictPosV2_0.2,1,0.5105366992310644,1.926358849618652,0.2001325488090515,9.51891489058098,0.008328438358438661,0.9917061470036874,0.01085200696282985,0.9892086720924094,0.019394838912446415,0.9807920309222738,0.4738060604578958,1,0.32681607366986826,,,,,1,z,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c0_n4_s1_20260321_180957_458840_pid242070,P9_B1_C0_N4_S1,1,17,0.0,9383,0.14889020679654957,B1_C0_N4,src_base,1,0.21671630775718917,0.1605212280017192,,completed,none,0.1879,0.1605,2026-03-21T19:40:52.446123,,all_w2
C1,B1,0.0811,bias_rule,,6890,0.11618039940195955,B1,C1,CanonicalBalance,,,,KuaiRecLargeStrictPosV2_0.2,1,0.6072550884181156,1.8653670793229702,0.19761160016059875,8.767065791991932,0.009610728494263822,0.9904353069607066,0.009937445314289755,0.9901179737317413,0.017643145811745753,0.9825115831802823,0.43349753694581283,1,0.31021753283799475,,,,,1,balance,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c1_b1_s1_20260321_180957_478746_pid242071,P9_B1_C1_B1_S1,1,17,0.0,9383,0.1497241488725287,B1_C1_B1,src_base,1,0.21808692901763357,0.16160945037152105,,completed,z,0.1872,0.1616,2026-03-21T19:33:52.665636,,all_w2
C1,B1,0.0807,bias_rule,,6890,0.118961999849761,B2,C1,CanonicalBalance,,,,KuaiRecLargeStrictPosV2_0.2,1,0.1374280821553444,2.3158630401545306,0.1063622310757637,11.77756366854065,0.0020941824772445833,0.9979080087929726,0.0047759577214645564,0.9952368555431622,0.006892530458284439,0.9931311685498033,0.47844613673312225,1,0.2542984157667121,,,,,1,balance_strong,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c1_b2_s1_20260321_180957_103009_pid242072,P9_B1_C1_B2_S1,1,17,0.007352941176470588,9383,0.1496855564015253,B1_C1_B2,src_base,1,0.2193521178734284,0.16127815772500054,,completed,z,0.1878,0.1613,2026-03-21T19:41:02.627197,,all_w2
C1,B1,0.0809,bias_rule,,6890,0.11712152405070203,B3,C1,CanonicalBalance,,,,KuaiRecLargeStrictPosV2_0.2,1,0.503987327455719,2.0313622146601427,0.19351089000701904,9.56935382168902,0.005826183879597392,0.9941907554165847,0.009634727629721966,0.990414387318783,0.014513290366645629,0.985591519772677,0.39140925815008126,1,0.3014495477294744,,,,,1,factored_group_balance,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c1_b3_s1_20260321_180957_479517_pid242073,P9_B1_C1_B3_S1,1,17,0.004524887046393226,9383,0.14935493424453805,B1_C1_B3,src_base,1,0.21782334800600964,0.1615387959518062,,completed,z,0.1873,0.1615,2026-03-21T19:28:25.209599,,all_w2
C1,B1,0.0821,bias_rule,,6890,0.11422215549407745,B4,C1,CanonicalBalance,,,,KuaiRecLargeStrictPosV2_0.2,1,1.1684561321599445,1.4429794095187676,0.35464367270469666,5.073374591329773,0.01162909274425419,0.9884382638034278,0.016210724725155418,0.9839303237595638,0.023770834145858552,0.9765094667442232,0.33826596095784084,1,0.5508348491051912,,,,,1,primitive_balance,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c1_b4_s1_20260321_180957_553415_pid242074,P9_B1_C1_B4_S1,1,17,0.0,9383,0.1464015378774667,B1_C1_B4,src_base,1,0.21566198371069348,0.15939040151717931,,completed,z,0.1843,0.1594,2026-03-21T19:25:28.841923,,all_w2
C2,B1,0.0806,bias_rule,,6890,0.11880607807789814,S1,C2,Specialization,,,,KuaiRecLargeStrictPosV2_0.2,1,0.25143661345730384,2.163614620178895,0.12795671820640564,11.286464086539432,0.004327535616698305,0.9956818146727923,0.006264919809925173,0.9937570970291452,0.010424902102004299,0.9896292488537498,0.5564840054272757,1,0.25359590305324553,,,,,1,route_sharpness,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c2_s1_s1_20260321_193225_256576_pid246984,P9_B1_C2_S1_S1,1,17,0.014705882352941176,9383,0.14997229055896263,B1_C2_S1,src_base,1,0.21816600332112074,0.16103612797856628,,completed,none,0.1879,0.161,2026-03-21T20:55:09.366941,,all_w2
C2,B1,0.0804,bias_rule,,6890,0.12046351819332954,S2,C2,Specialization,,,,KuaiRecLargeStrictPosV2_0.2,1,0.8884146544809742,1.5227674325299743,0.31661489605903625,6.706605573662332,0.00720802916925194,0.992817886368965,0.00965848594493714,0.9903899873269058,0.015259344538432197,0.9848564893280309,0.8410663863389114,1,0.36078949900104484,,,,,1,route_sharpness_strong,20,,phase9,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P9/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p9_b1_c2_s2_s1_20260321_194115_119982_pid247057,P9_B1_C2_S2_S1,1,17,0.0,9383,0.1494957543151231,B1_C2_S2,src_base,1,0.21687445636416353,0.1610563310576719,,completed,none,0.1871,0.1611,2026-03-21T21:09:49.019826,,all_w2
