axis_group,base_id,best_valid_mrr20,bias_mode,candidate_id,cold_item_count,cold_item_mrr20,combo_id,concept_id,concept_name,d_expert_hidden,d_ff,d_router_hidden,dataset,diag_available,diag_cv_usage,diag_entropy_mean,diag_family_top_expert_mean_share,diag_n_eff,diag_route_consistency_group_knn_js,diag_route_consistency_group_knn_score,diag_route_consistency_intra_group_knn_mean_js,diag_route_consistency_intra_group_knn_mean_score,diag_route_consistency_knn_js,diag_route_consistency_knn_score,diag_route_jitter_adjacent,diag_source_row_count,diag_top1_max_frac,embedding_size,fixed_hidden_dropout_prob,fixed_weight_decay,hvar_id,is_main_eligible,main_aux,n_completed,pass_tag,phase_tag,run_dir,run_phase,seed_id,sess_1_2_count,sess_1_2_mrr20,sess_3_5_count,sess_3_5_mrr20,setting_id,source_profile,special_available,special_test_overall_hit20,special_test_overall_mrr20,stage,status,support_aux,test_hr10,test_mrr20,timestamp,topk_profile,wrapper_combo
A,,0.0801,bias_off,,6890,0.12014066191830812,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.10500985443562703,2.360772212350129,0.10125462710857391,11.869118775084793,0.002436027868369556,0.9975669368396591,0.00446277944531523,0.9955475466541704,0.00686668759942476,0.9931568342300572,0.6308474617707098,1,0.2503406291739659,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w1_s1_20260320_090015_933616_pid165898,P8_SCR_A_ALL_W1_S1,1,17,0.0,9383,0.15111229082363623,ALL_W1,src_default,1,0.21808692901763357,0.1615447639627975,A,completed,,0.1884,0.1615,2026-03-20T10:32:29.772958,tk_dense,all_w1
A,,0.0819,bias_off,,6890,0.11617921057477572,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.5854362594561268,1.9788484935339186,0.18696610629558563,8.93697759378825,0.006082247923235432,0.993936211502768,0.007453711939086881,0.9925840984493979,0.012917108094665196,0.98716595969622,0.04999694410150472,1,0.3994970545923972,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w2_s1_20260320_090015_897241_pid165899,P8_SCR_A_ALL_W2_S1,1,17,0.0030959752552649554,9383,0.148881637988461,ALL_W2,src_default,1,0.21600463902580458,0.1603259585357692,A,completed,,0.1861,0.1603,2026-03-20T10:23:52.661737,tk_dense,all_w2
A,,0.0805,bias_off,,6890,0.11915123585303394,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.0786680439810779,2.350212275353941,0.10097608715295792,11.92619354366334,0.0020216200511532618,0.9979804220463155,0.004532887408655534,0.9954773723143484,0.006511058166594038,0.9935100928425832,0.668972851397768,1,0.23984544720303735,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w3_s1_20260320_090015_966794_pid165900,P8_SCR_A_ALL_W3_S1,1,17,0.0,9383,0.15066951583206598,ALL_W3,src_default,1,0.21808692901763357,0.16128647326382264,A,completed,,0.1885,0.1613,2026-03-20T11:06:16.093490,tk_dense,all_w3
A,,0.081,bias_off,,6890,0.12129736568059647,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.09798412105488416,2.2412175117584185,0.0997263491153717,11.885884719489878,0.0027924483288039223,0.9972114469284189,0.00742658261828807,0.9926072839907095,0.01027590227205035,0.9897767144294466,0.3340463763155643,1,0.18213201422028918,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w4_s1_20260320_090015_980925_pid165901,P8_SCR_A_ALL_W4_S1,1,17,0.007598039420212016,9383,0.15000156920947563,ALL_W4,src_default,1,0.21837686813041987,0.16127605443006496,A,completed,,0.1884,0.1613,2026-03-20T10:34:21.281000,tk_dense,all_w4
A,,0.0819,bias_off,,6890,0.11682636921979346,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.5703585424912411,2.0494668309195645,0.19095632433891296,9.054493565817339,0.0032103161137602347,0.9967948314411155,0.009742768478132012,0.9903375359956369,0.009396860553119186,0.990647151973264,0.0,1,0.3444370613490481,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w5_s1_20260320_090015_951647_pid165902,P8_SCR_A_ALL_W5_S1,1,17,0.029411764705882353,9383,0.14752192703484346,ALL_W5,src_default,1,0.21537204459790715,0.1602228824671278,A,completed,,0.1854,0.1602,2026-03-20T10:30:30.848801,tk_dense,all_w5
A,,0.0809,bias_off,,6890,0.11467238121188864,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,1.8900294238346471,0.8918011357049989,0.5885648131370544,2.6245511182904546,0.0068526255179731585,0.9931708001805493,0.01829668995348388,0.9819016661345716,0.017597950269989712,0.9825559893270381,0.10109645638010488,1,0.7200285479688657,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_all_w6_s1_20260320_090015_900174_pid165903,P8_SCR_A_ALL_W6_S1,1,17,0.0034602076253470253,9383,0.14893712162285436,ALL_W6,src_default,1,0.2149239568781465,0.15991494380266197,A,completed,,0.186,0.1599,2026-03-20T10:35:06.070628,tk_dense,all_w6
A,,0.0814,bias_off,,6890,0.11192317901798274,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.7911308990613966,1.747159815489734,0.22713975608348846,7.380583578577931,0.007878997143446208,0.992151960795354,0.013082825315821604,0.987040624451867,0.018728894590356985,0.9814454013364294,0.11274798616289161,1,0.5013188893139762,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_mixed_1_s1_20260320_090015_931619_pid165904,P8_SCR_A_MIXED_1_S1,1,17,0.0,9383,0.1468730270187636,MIXED_1,src_default,1,0.21323703840375338,0.1586574469633722,A,completed,,0.1836,0.1587,2026-03-20T10:29:02.926336,tk_dense,mixed_1
A,,0.0813,bias_off,,6890,0.11578327845646871,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.7894478503034159,1.9620235176758016,0.23012301325798035,7.392675938420864,0.002048633683426308,0.9979534633343067,0.011697417541330083,0.9883850943122544,0.010670868745993652,0.9893858630022432,0.10767519466073415,1,0.7096206207617117,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_mixed_2_s1_20260320_090015_932694_pid165905,P8_SCR_A_MIXED_2_S1,1,17,0.0,9383,0.14706293487236288,MIXED_2,src_default,1,0.21510846358628324,0.16038641607986204,A,completed,,0.1861,0.1604,2026-03-20T10:23:04.813536,tk_dense,mixed_2
A,,0.0803,bias_off,,6890,0.11912761253395343,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.09063386274475269,2.297490345344287,0.09993705153465271,11.902229448930395,0.003463189402346332,0.99654280052133,0.005126441809505005,0.9948915899322219,0.008664492923029805,0.9913729356179932,0.478054981725727,1,0.18697577226059195,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_a_mixed_3_s1_20260320_103238_618105_pid167411,P8_SCR_A_MIXED_3_S1,1,17,0.0,9383,0.15064389078016222,MIXED_3,src_default,1,0.21777063180368486,0.16167728482365856,A,completed,,0.1883,0.1617,2026-03-20T12:02:53.865385,tk_dense,mixed_3
B,,0.0807,bias_both,,6890,0.11920805075766819,,,,,,,KuaiRecLargeStrictPosV2_0.2,1,0.14744722776272215,2.27455636056465,0.10964811593294144,11.74466309694735,0.0032719772366630925,0.9967333698474199,0.004070700450346167,0.9959402776814105,0.007144218544612724,0.992881240719766,0.22682589935092715,1,0.24046965435927037,,,,,1,,20,SCR,phase8,/workspace/jy1559/FMoE/experiments/run/artifacts/logging/fmoe_n3/KuaiRecLargeStrictPosV2_0.2/P8/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p8_scr_b_all_w2_bias_both_s1_20260320_131359_981026_pid178813,P8_SCR_B_ALL_W2_BIAS_BOTH_S1,1,17,0.009803921860807082,9383,0.15006716115249127,ALL_W2_BIAS_BOTH,,1,0.2176124831967105,0.16111014208765298,B,completed,,0.1876,0.1611,2026-03-20T14:54:07.032000,,all_w2
