early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,0.0794,ok,0.1874,0.1607,1
True,17,0.0802,ok,0.1879,0.1612,2
True,29,0.0807,ok,0.1883,0.1618,3
True,15,0.0797,ok,0.1857,0.1605,4
True,14,0.0796,ok,0.1862,0.1602,5
True,14,0.0798,ok,0.1855,0.1605,6
True,31,0.0807,ok,0.188,0.1617,7
True,16,0.0799,ok,0.1879,0.1611,8
True,17,0.0802,ok,0.1878,0.1611,9
True,15,0.0796,ok,0.1854,0.1605,10
True,14,0.0793,ok,0.186,0.1603,11
True,17,0.0797,ok,0.1852,0.1607,12
True,34,0.0806,ok,0.1883,0.1618,13
True,48,0.0806,ok,0.1886,0.1616,14
True,17,0.0787,ok,0.1849,0.1602,15
True,23,0.0806,ok,0.1886,0.162,16
True,23,0.0807,ok,0.1891,0.162,17
True,15,0.0796,ok,0.1864,0.1606,18
True,31,0.0807,ok,0.1883,0.1618,19
True,23,0.0807,ok,0.1877,0.1615,20
