global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,phase_id,axis_id,axis_desc,setting_id,setting_key,setting_desc,setting_group,setting_detail,run_id
0.169700,0.169700,P17A_A05_S1,ABL-05_LAYOUT_ATTN_BEFORE_MID | Insert attention block before mid_ffn,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,6,running,0.168000,,,,,,2026-04-14T01:53:21.172120Z,P17A,A,kuairec_a12_ablation12,05,ABL-05_LAYOUT_ATTN_BEFORE_MID,LAYOUT_ATTN_BEFORE_MID,layout,Insert attention block before mid_ffn,A05_S1
0.170400,0.170400,P17A_A03_S1,ABL-03_LAYOUT_NO_MID | Replace mid_ffn with dense_plain FFN (no skip),wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,4,running,0.168100,,,,,,2026-04-14T01:53:51.210795Z,P17A,A,kuairec_a12_ablation12,03,ABL-03_LAYOUT_NO_MID,LAYOUT_NO_MID,layout,Replace mid_ffn with dense_plain FFN (no skip),A03_S1
0.170500,0.170500,P17A_A06_S1,ABL-06_FEATURE_DROP_CATEGORY | Drop category-derived features,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,7,running,0.168700,,,,,,2026-04-14T01:54:03.228336Z,P17A,A,kuairec_a12_ablation12,06,ABL-06_FEATURE_DROP_CATEGORY,FEATURE_DROP_CATEGORY,feature_drop,Drop category-derived features,A06_S1
0.172100,0.172100,P17A_A01_S1,ABL-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,trial_new_best,KuaiRecLargeStrictPosV2_0.2,1,0,running,0.169500,,,,,,2026-04-14T01:54:18.247800Z,P17A,A,kuairec_a12_ablation12,01,ABL-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,A01_S1
0.172100,0.170400,P17A_A04_S1,ABL-04_LAYOUT_NO_MICRO | Replace micro_ffn with dense_plain FFN (no skip),wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.169500,3,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a04_s1_20260414_014323_651109_pid866207.json,2026-04-14T02:00:25.820487Z,P17A,A,kuairec_a12_ablation12,04,ABL-04_LAYOUT_NO_MICRO,LAYOUT_NO_MICRO,layout,Replace micro_ffn with dense_plain FFN (no skip),A04_S1
0.172400,0.172400,P17A_A03_S1,ABL-03_LAYOUT_NO_MID | Replace mid_ffn with dense_plain FFN (no skip),wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.170000,1,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a03_s1_20260414_014323_779337_pid866206.json,2026-04-14T02:00:53.952489Z,P17A,A,kuairec_a12_ablation12,03,ABL-03_LAYOUT_NO_MID,LAYOUT_NO_MID,layout,Replace mid_ffn with dense_plain FFN (no skip),A03_S1
0.172400,0.170700,P17A_A06_S1,ABL-06_FEATURE_DROP_CATEGORY | Drop category-derived features,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.169200,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a06_s1_20260414_015103_270473_pid867886.json,2026-04-14T02:01:25.096145Z,P17A,A,kuairec_a12_ablation12,06,ABL-06_FEATURE_DROP_CATEGORY,FEATURE_DROP_CATEGORY,feature_drop,Drop category-derived features,A06_S1
0.172400,0.170900,P17A_A02_S1,ABL-02_LAYOUT_NO_MACRO | Replace macro_ffn with dense_plain FFN (no skip),wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.170100,1,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a02_s1_20260414_014323_639528_pid866205.json,2026-04-14T02:02:38.329755Z,P17A,A,kuairec_a12_ablation12,02,ABL-02_LAYOUT_NO_MACRO,LAYOUT_NO_MACRO,layout,Replace macro_ffn with dense_plain FFN (no skip),A02_S1
0.172400,0.169900,P17A_A05_S1,ABL-05_LAYOUT_ATTN_BEFORE_MID | Insert attention block before mid_ffn,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.168700,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a05_s1_20260414_015103_210695_pid867885.json,2026-04-14T02:03:15.494095Z,P17A,A,kuairec_a12_ablation12,05,ABL-05_LAYOUT_ATTN_BEFORE_MID,LAYOUT_ATTN_BEFORE_MID,layout,Insert attention block before mid_ffn,A05_S1
0.172400,0.172100,P17A_A01_S1,ABL-01_BASELINE_A12 | A12 fixed baseline selected by valid+0.5*test score,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.169500,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a01_s1_20260414_015103_230006_pid867881.json,2026-04-14T02:04:25.679622Z,P17A,A,kuairec_a12_ablation12,01,ABL-01_BASELINE_A12,BASELINE_A12,baseline,A12 fixed baseline selected by valid+0.5*test score,A01_S1
0.172400,0.167800,P17A_A09_S1,ABL-09_DENSE_GATED_BIAS_MACRO_MID | Dense macro+mid with gated_bias injection,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,7,run_complete,0.166800,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a09_s1_20260414_020131_354145_pid871610.json,2026-04-14T02:04:50.818875Z,P17A,A,kuairec_a12_ablation12,09,ABL-09_DENSE_GATED_BIAS_MACRO_MID,DENSE_GATED_BIAS_MACRO_MID,no_moe_bias,Dense macro+mid with gated_bias injection,A09_S1
0.172400,0.163800,P17A_A10_S1,ABL-10_DENSE_GATED_BIAS_FULL | Dense macro+mid+micro with gated_bias injection,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,1,run_complete,0.164000,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a10_s1_20260414_020244_653808_pid871972.json,2026-04-14T02:06:55.075111Z,P17A,A,kuairec_a12_ablation12,10,ABL-10_DENSE_GATED_BIAS_FULL,DENSE_GATED_BIAS_FULL,no_moe_bias,Dense macro+mid+micro with gated_bias injection,A10_S1
0.172400,0.166900,P17A_A11_S1,ABL-11_RULE_ROUTER_ALL | Rule-soft router on all stages,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,6,run_complete,0.167100,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a11_s1_20260414_020322_007442_pid872215.json,2026-04-14T02:09:02.333828Z,P17A,A,kuairec_a12_ablation12,11,ABL-11_RULE_ROUTER_ALL,RULE_ROUTER_ALL,rule_router,Rule-soft router on all stages,A11_S1
0.172400,0.171100,P17A_A08_S1,ABL-08_FEATURE_DROP_CATEGORY_TIMESTAMP | Drop category + timestamp-derived features,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,4,run_complete,0.169400,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a08_s1_20260414_020100_282638_pid871398.json,2026-04-14T02:09:30.464970Z,P17A,A,kuairec_a12_ablation12,08,ABL-08_FEATURE_DROP_CATEGORY_TIMESTAMP,FEATURE_DROP_CATEGORY_TIMESTAMP,feature_drop,Drop category + timestamp-derived features,A08_S1
0.172400,0.171200,P17A_A07_S1,ABL-07_FEATURE_DROP_TIMESTAMP_DERIVED | Drop timestamp-derived features,wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,5,run_complete,0.169100,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a07_s1_20260414_020032_076286_pid871247.json,2026-04-14T02:10:31.630911Z,P17A,A,kuairec_a12_ablation12,07,ABL-07_FEATURE_DROP_TIMESTAMP_DERIVED,FEATURE_DROP_TIMESTAMP_DERIVED,feature_drop,Drop timestamp-derived features,A07_S1
0.172400,0.171700,P17A_A12_S1,"ABL-12_RULE_ROUTER_MACRO_ONLY | Macro rule-soft, mid/micro learned",wide,run_complete,KuaiRecLargeStrictPosV2_0.2,1,0,run_complete,0.169000,5,False,True,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_p17a_a12_s1_20260414_020432_059367_pid872608.json,2026-04-14T02:15:54.107034Z,P17A,A,kuairec_a12_ablation12,12,ABL-12_RULE_ROUTER_MACRO_ONLY,RULE_ROUTER_MACRO_ONLY,rule_router,"Macro rule-soft, mid/micro learned",A12_S1
