run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R2OHGRv3_teacher4_C00_A1_feat_off,C00,A1,feat_off,1,160/16/256/112,15,serial,stage_wide,0.093300,3.50e-04,-,30,no,5,10,L15 serial stage_wide
R2OHGRv3_teacher4_C01_A1_feat_weak,C01,A1,feat_weak,1,160/16/256/112,15,serial,stage_wide,0.093300,4.00e-04,-,30,yes,5,10,L15 serial stage_wide
R2OHGRv3_teacher4_C03_A1_honly_strong,C03,A1,honly_strong,1,160/16/256/112,15,serial,stage_wide,0.092600,5.00e-04,-,30,no,5,10,L15 serial stage_wide
R2OHGRv3_teacher4_C02_A1_feat_strong,C02,A1,feat_strong,1,160/16/256/112,15,serial,stage_wide,0.092500,1.80e-03,-,30,no,5,10,L15 serial stage_wide
