axis_group,axis_label_x,axis_label_y,best_valid_mrr20,expert,family,loading_pc1,loading_pc2,pc1,pc1_explained_var_ratio,pc2,pc2_explained_var_ratio,phase_tag,run_phase,setting_id,test_mrr20,weight_norm
A,PC1 (30.92%),PC2 (15.89%),0.0807,Tempo_a,Tempo,-0.11573275120985764,-0.5796052178036226,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.08168925942356871
A,PC1 (30.92%),PC2 (15.89%),0.0807,Tempo_b,Tempo,-0.033942602447897915,-0.0635971176756484,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.09974685003025023
A,PC1 (30.92%),PC2 (15.89%),0.0807,Tempo_c,Tempo,-0.06349050593968406,-0.10468002573504762,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.06050997969683309
A,PC1 (30.92%),PC2 (15.89%),0.0807,Focus_a,Tempo,-0.16615919115453162,0.6349180228020461,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.0760513897303729
A,PC1 (30.92%),PC2 (15.89%),0.0807,Focus_b,Tempo,-0.09288203939549977,0.06869008947970782,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.07887722106246564
A,PC1 (30.92%),PC2 (15.89%),0.0807,Focus_c,Tempo,-0.17241569897192552,0.30006489898279354,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.07594403347965832
A,PC1 (30.92%),PC2 (15.89%),0.0807,Memory_a,Tempo,-0.10568350820329243,-0.16103010626405942,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.07237091971199412
A,PC1 (30.92%),PC2 (15.89%),0.0807,Memory_b,Tempo,-0.0993397045726718,-0.07605004139536524,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.08492353834856989
A,PC1 (30.92%),PC2 (15.89%),0.0807,Memory_c,Tempo,-0.05859831799898493,0.21625064955748605,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.08665542006817097
A,PC1 (30.92%),PC2 (15.89%),0.0807,Exposure_a,Tempo,-0.011758619863723814,-0.2520184350800375,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.12241349579149531
A,PC1 (30.92%),PC2 (15.89%),0.0807,Exposure_b,Tempo,0.9435547497700499,0.07575850185628151,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.07562610405857884
A,PC1 (30.92%),PC2 (15.89%),0.0807,Exposure_c,Tempo,-0.023551810011980596,-0.05870121872453367,-5.9344039180972146e-05,0.3091841770741233,-0.0359778785673188,0.15890903189397088,phase8_2,P8_2_A_H1_S1,A_H1,0.1615,0.08519178859804197
