dataset_label,tier_label,case_label,soft_target_share,top1_target_share,target_gain_top1_minus_soft,total_top1_assignments,test_seen_mrr20,test_seen_ndcg20,test_seen_hit10
Foursquare,Permissive,Memory+,0.2510068714618683,0.1966604823747681,-0.05434638908710018,539.0,0.2795867224255304,0.3489758392398277,0.5056179775280899
Foursquare,Permissive,Memory-,0.2743775844573974,0.25276752767527677,-0.021610056782120635,542.0,0.1171660183490007,0.1634759538132568,0.2758620689655172
Foursquare,Permissive,Focus+,0.2336719185113906,0.2263056092843327,-0.007366309227057916,517.0,0.2084293340643247,0.2712309062480926,0.4222222222222222
Foursquare,Permissive,Focus-,0.2617138922214508,0.2879177377892031,0.026203845567752293,778.0,0.1782569456172276,0.2502980036548821,0.3614457831325301
Foursquare,Permissive,Tempo+,0.2588967084884643,0.24848484848484848,-0.010411860003615825,330.0,0.1474281179704772,0.2209090419224838,0.373134328358209
Foursquare,Permissive,Tempo-,0.247548371553421,0.2304147465437788,-0.01713362500964219,651.0,0.2986205017320739,0.3655757880905299,0.5339805825242718
Foursquare,Permissive,Exposure+,0.2561317384243011,0.30531914893617024,0.049187410511869145,940.0,0.2894118473214923,0.3670088688157639,0.5566037735849056
Foursquare,Permissive,Exposure-,0.2482815831899643,0.2801724137931034,0.03189083060313913,464.0,0.166200065621879,0.2072876868088071,0.3048780487804878
Foursquare,Pure,Memory+,0.2661654353141784,0.23655913978494625,-0.029606295529232163,1209.0,0.3263799433729478,0.3955790824317313,0.5584415584415584
Foursquare,Pure,Memory-,0.2683050632476806,0.23076923076923075,-0.037535832478449854,1365.0,0.2027199797501618,0.2565361167671102,0.3333333333333333
Foursquare,Pure,Focus+,0.2608997225761413,0.30277777777777776,0.041878055201636455,360.0,0.2616896306567672,0.3182571042162269,0.4552238805970149
Foursquare,Pure,Focus-,0.2674148082733154,0.3087431693989071,0.04132836112559174,732.0,0.116182010134925,0.1609077793748482,0.2318840579710145
Foursquare,Pure,Tempo+,0.2526365518569946,0.2534059945504087,0.000769442693414113,367.0,0.1642122788323184,0.2302149362483267,0.3644067796610169
Foursquare,Pure,Tempo-,0.2672680020332336,0.2890625,0.021794497966766413,640.0,0.2840802756448586,0.3372216322907695,0.4666666666666667
Foursquare,Pure,Exposure+,0.2532341778278351,0.30223390275952694,0.04899972493169186,761.0,0.3187809233329718,0.4018744444356689,0.5886075949367089
Foursquare,Pure,Exposure-,0.2364974021911621,0.23205741626794257,-0.004439985923219536,418.0,0.0973875124434955,0.1217158913123803,0.1639344262295081
KuaiRec,Permissive,Memory+,0.2467225193977356,0.24788732394366197,0.001164804545926379,710.0,0.9523809523809524,0.9523809523809524,0.9523809523809524
KuaiRec,Permissive,Memory-,0.2341864258050918,0.24405850091407677,0.009872075108984968,1094.0,0.0021645022612629,0.0077563036571849,0.0
KuaiRec,Permissive,Focus+,0.2417849153280258,0.22727272727272727,-0.014512188055298525,352.0,0.9487179487179488,0.9487179487179488,0.9487179487179488
KuaiRec,Permissive,Focus-,0.2361299097537994,0.27751196172248804,0.04138205196868863,418.0,0.0114348373915019,0.0264475110330079,0.0789473684210526
KuaiRec,Permissive,Tempo+,0.2799028754234314,0.21910112359550563,-0.06080175182792577,890.0,0.8019050802527503,0.8146441399373792,0.8409090909090909
KuaiRec,Permissive,Tempo-,0.2859253585338592,0.22431865828092243,-0.06160670025293677,477.0,0.9516129032258064,0.9558364441317896,0.967741935483871
KuaiRec,Permissive,Exposure+,0.2291494458913803,0.2647058823529412,0.03555643646156087,714.0,0.975,0.975,0.975
KuaiRec,Permissive,Exposure-,0.2296132743358612,0.2467289719626168,0.017115697626755605,535.0,0.8787878787878788,0.8787878787878788,0.8787878787878788
KuaiRec,Pure,Memory+,0.2399592101573944,0.2515592515592516,0.011600041401857164,481.0,1.0,1.0,1.0
KuaiRec,Pure,Memory-,0.2409229725599289,0.2650602409638554,0.024137268403926493,1245.0,0.0145738505525514,0.0437915683723986,0.09375
KuaiRec,Pure,Focus+,0.2647671699523926,0.44594594594594594,0.18117877599355336,74.0,1.0,1.0,1.0
KuaiRec,Pure,Focus-,0.2489681392908096,0.2953020134228188,0.046333874132009206,149.0,0.0,0.0,0.0
KuaiRec,Pure,Tempo+,0.2844955325126648,0.23816568047337278,-0.04632985203929202,676.0,1.0,1.0,1.0
KuaiRec,Pure,Tempo-,0.2777773141860962,0.2,-0.07777731418609618,185.0,0.4861111113180716,0.4994640400012334,0.5416666666666666
KuaiRec,Pure,Exposure+,0.2282664030790329,0.268733850129199,0.04046744705016608,387.0,0.9642857142857144,0.9642857142857144,0.9642857142857144
KuaiRec,Pure,Exposure-,0.2424528002738952,0.25,0.007547199726104792,152.0,0.8125,0.8125,0.8125
