tier_label,case_label,soft_target_share,top1_target_share,target_gain_top1_minus_soft,total_top1_assignments,test_seen_mrr20,test_seen_ndcg20,test_seen_hit10
Permissive,Memory+,0.2654193639755249,0.3562874251497006,0.09086806117417567,668.0,0.2821490779686509,0.3528028525663226,0.4831460674157303
Permissive,Memory-,0.2739015817642212,0.3697916666666667,0.0958900849024455,576.0,0.1243295024266873,0.1625775962040342,0.2758620689655172
Permissive,Focus+,0.3316730856895447,0.6018957345971564,0.2702226489076117,633.0,0.2278681670626004,0.281673910220464,0.4333333333333333
Permissive,Focus-,0.2535140812397003,0.1606382978723404,-0.09287578336735991,940.0,0.1785225829176874,0.2549176945025662,0.4337349397590361
Permissive,Tempo+,0.2245365232229232,0.13930348258706468,-0.08523304063585851,402.0,0.169152662269215,0.2312206058804668,0.3880597014925373
Permissive,Tempo-,0.2618950307369232,0.3827460510328068,0.12085102029588357,823.0,0.2940570097959157,0.3617487894099893,0.5533980582524272
Permissive,Exposure+,0.1845235377550125,0.05132192846034215,-0.13320160929467037,1286.0,0.2863631488860778,0.367909127389485,0.5660377358490566
Permissive,Exposure-,0.2061054706573486,0.08431703204047217,-0.12178843861687644,593.0,0.1930801928406808,0.2417927438892969,0.3780487804878049
Pure,Memory+,0.2612176835536957,0.23873015873015874,-0.022487524823536942,1575.0,0.3313710528679869,0.3983894388203497,0.577922077922078
Pure,Memory-,0.2766854465007782,0.48766233766233763,0.21097689116155943,1540.0,0.1884854004125703,0.2389200054334871,0.3409090909090909
Pure,Focus+,0.2873061001300812,0.3833333333333333,0.09602723320325213,360.0,0.2378721931921457,0.2932061942210838,0.4328358208955223
Pure,Focus-,0.2396523505449295,0.09765142150803462,-0.14200092903689487,809.0,0.1227774008352687,0.1637264979274376,0.2318840579710145
Pure,Tempo+,0.225361630320549,0.15135135135135136,-0.07401027896919765,370.0,0.1581219749177916,0.2241383652060719,0.3728813559322034
Pure,Tempo-,0.2751978039741516,0.5304606240713224,0.25526282009717083,673.0,0.2878764516777462,0.3339661522044075,0.4444444444444444
Pure,Exposure+,0.188180536031723,0.046610169491525424,-0.14157036654019756,944.0,0.2987943681404937,0.3775529872767533,0.5759493670886076
Pure,Exposure-,0.2375895082950592,0.13943355119825707,-0.09815595709680214,459.0,0.0865233392439416,0.1121423025844527,0.1721311475409836
