dataset_label,sort_rank,case_label,target_stage_avg_share,macro_target_share,test_seen_mrr20,test_seen_ndcg20,test_seen_hit10
Foursquare,1,Memory-,0.2743775844573974,0.2743775844573974,0.1171660183490007,0.1634759538132568,0.2758620689655172
Foursquare,2,Focus-,0.2617138922214508,0.2617138922214508,0.1782569456172276,0.2502980036548821,0.3614457831325301
Foursquare,3,Tempo+,0.2588967084884643,0.2588967084884643,0.1474281179704772,0.2209090419224838,0.373134328358209
Foursquare,4,Exposure+,0.2561317384243011,0.2561317384243011,0.2894118473214923,0.3670088688157639,0.5566037735849056
Foursquare,5,Memory+,0.2510068714618683,0.2510068714618683,0.2795867224255304,0.3489758392398277,0.5056179775280899
Foursquare,6,Exposure-,0.2482815831899643,0.2482815831899643,0.166200065621879,0.2072876868088071,0.3048780487804878
Foursquare,7,Tempo-,0.247548371553421,0.247548371553421,0.2986205017320739,0.3655757880905299,0.5339805825242718
Foursquare,8,Focus+,0.2336719185113906,0.2336719185113906,0.2084293340643247,0.2712309062480926,0.4222222222222222
KuaiRec,1,Tempo-,0.2859253585338592,0.2859253585338592,0.9516129032258064,0.9558364441317896,0.967741935483871
KuaiRec,2,Tempo+,0.2799028754234314,0.2799028754234314,0.8019050802527503,0.8146441399373792,0.8409090909090909
KuaiRec,3,Memory+,0.2467225193977356,0.2467225193977356,0.9523809523809524,0.9523809523809524,0.9523809523809524
KuaiRec,4,Focus+,0.2417849153280258,0.2417849153280258,0.9487179487179488,0.9487179487179488,0.9487179487179488
KuaiRec,5,Focus-,0.2361299097537994,0.2361299097537994,0.0114348373915019,0.0264475110330079,0.0789473684210526
KuaiRec,6,Memory-,0.2341864258050918,0.2341864258050918,0.0021645022612629,0.0077563036571849,0.0
KuaiRec,7,Exposure-,0.2296132743358612,0.2296132743358612,0.8787878787878788,0.8787878787878788,0.8787878787878788
KuaiRec,8,Exposure+,0.2291494458913803,0.2291494458913803,0.975,0.975,0.975
