pair_id,setting_id,transfer_mode,policy,n,mean_gain_mrr20,win_rate
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_a12_router_init,loaded_lr_0.05,5,0.0009600000000000164,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_a12_router_init,loaded_lr_0.35,5,0.0008400000000000074,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_a12_router_init,std,5,0.00020000000000002237,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_group_router_init,loaded_lr_0.05,5,0.0006200000000000094,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_group_router_init,loaded_lr_0.35,5,0.0003200000000000092,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_group_router_init,std,5,-0.00021999999999997578,0.4
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_init,loaded_lr_0.05,5,0.0017400000000000304,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_init,loaded_lr_0.35,5,0.0013000000000000123,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,feature_encoder_init,std,5,0.0009400000000000186,0.4
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_except_feature_router_init,loaded_lr_0.05,5,-0.022999999999999986,0.0
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_except_feature_router_init,loaded_lr_0.35,5,-0.0035599999999999855,0.2
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_except_feature_router_init,std,5,0.0015800000000000148,0.8
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_model_init,loaded_lr_0.05,5,-0.022539999999999984,0.0
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_model_init,loaded_lr_0.35,5,-0.003059999999999985,0.2
beauty_to_retail_rocket,retail_r10_h13_width_refine,full_model_init,std,5,0.0008400000000000185,0.4
beauty_to_retail_rocket,retail_r10_h13_width_refine,group_router_init,loaded_lr_0.05,5,0.0011800000000000144,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,group_router_init,loaded_lr_0.35,5,0.0010400000000000075,0.6
beauty_to_retail_rocket,retail_r10_h13_width_refine,group_router_init,std,5,0.0010200000000000098,0.6
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_a12_router_init,loaded_lr_0.05,5,0.0029200000000000003,0.8
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_a12_router_init,loaded_lr_0.35,5,0.002440000000000009,0.8
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_a12_router_init,std,5,0.0013000000000000012,1.0
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_group_router_init,loaded_lr_0.05,5,0.0023800000000000045,1.0
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_group_router_init,loaded_lr_0.35,5,0.0022400000000000085,1.0
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_group_router_init,std,5,0.0013799999999999813,1.0
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_init,loaded_lr_0.05,5,0.0025000000000000135,0.8
beauty_to_retail_rocket,retail_r15_h13_width_lr_validate,feature_encoder_init,loaded_lr_0.35,5,0.001959999999999995,0.8
