run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R1LHGRv3_layout8_C04_L15_D2_off,C04,-,off,1,160/16/256/112,15,serial,stage_wide,0.093100,5.49e-04,1.00e-06,25,no,6,8,L15 serial stage_wide
R1LHGRv3_layout8_C00_L15_D0_off,C00,-,off,1,128/16/160/64,15,serial,stage_wide,0.090900,8.68e-04,1.00e-06,25,no,8,8,L15 serial stage_wide
