early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.038763943093718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245107391487791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500278532250409,0.0,0.0743,ok,0.1741,0.1558,1
True,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.555869613944413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569428283713939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.817921654976003,0.0,0.0742,ok,0.1739,0.1542,2
True,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80041565581984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.856943776040293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6371935321185593,0.0,0.0744,ok,0.1741,0.1554,3
True,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.800292870892886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.361861600785824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9837430284531408,0.0,0.0742,ok,0.1744,0.1546,4
True,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33870246822425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.062634816201677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.553184167501714,0.0,0.0542,ok,0.0927,0.077,5
True,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.290127185406888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.603816715890512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166507732978219,0.0,0.0572,ok,0.0967,0.0838,6
True,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.526147173804124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616188368559148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177717584779284,0.0,0.0745,ok,0.1744,0.1552,7
True,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9922619744145877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2524848908615054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7496161940957755,0.0,0.0748,ok,0.1753,0.155,8
True,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.956983578134064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.104814899662465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.614868100970413,0.0,0.0741,ok,0.1727,0.1553,9
True,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9186623612283107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966141932783081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1870906688399874,0.0,0.0747,ok,0.1743,0.155,10
