avg_epoch_time_sec,early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_eval_targets_per_sec,test_eval_time_sec,test_hr@10,test_mrr@20,trial
6.723560181531039,True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,ok,11572.900961882668,0.30770158767700195,0.3225,0.172,1
6.760852824557912,True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,ok,15445.654017898692,0.23055028915405273,0.3225,0.172,2
6.742983375276838,True,21,1.0,1.0,0.0,0.12278066229454729,0.0,2.1950419865781914,0.3832489252090454,0.23416176438331604,0.0,0.026396400998737364,1.0361383313356958,2.9979111205935633,0.3580692977580137,6.908570879936482,11.821782077057621,6.908570879936482,0.0,1.0,0.05316342748266046,0.9489020047344043,0.0814655243905991,0.9217644876985414,0.07802475805738228,0.9249415265046718,0.014958826490147804,0.9851525009542343,0.05196928923096895,0.94937010612679,0.067553859690677,0.9346773778258637,0.6786560713787816,0.3350011835720207,8.580090530930683,6.908570879936482,0.132017787659811,0.2072,ok,15108.592649389877,0.23569369316101074,0.3221,0.1712,3
6.741139783859253,True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,ok,14312.822144750435,0.24879789352416992,0.3197,0.172,4
6.745656838019689,True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2052,ok,14332.28374932949,0.248460054397583,0.3217,0.172,5
6.918432722091675,True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2068,ok,13215.929410827814,0.26944756507873535,0.3205,0.1718,6
6.79239973567781,True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,ok,15309.514629503781,0.23260045051574707,0.3221,0.1717,7
6.777353180779351,True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2055,ok,13364.85151831861,0.2664451599121094,0.3197,0.1719,8
6.956947440192813,True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2059,ok,11952.424143775597,0.2979311943054199,0.3221,0.17,9
6.929624716440837,True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2063,ok,15293.665978570727,0.23284149169921875,0.3209,0.1725,10
