model,global_best_valid_mrr20,global_best_test_mrr20,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,concept_id,detail_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
SASRec,0.041700,0.034600,0.041700,0.034600,0.041700,0.034600,C1D1,C1,D1,P15_WS_D00_M01_SASREC_C1D1_S1,WS_LASTFM0_03_SASREC_C1D1_S1,lastfm0.03,C1D1,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c1d1_s1_20260328_145533_742230_pid372304.json,2026-03-28T14:56:55.961639Z
SASRec,0.122300,0.122700,0.122300,0.122700,0.122300,0.122700,C1D2,C1,D2,P15_WS_D00_M01_SASREC_C1D2_S1,WS_LASTFM0_03_SASREC_C1D2_S1,lastfm0.03,C1D2,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c1d2_s1_20260328_145700_851787_pid372395.json,2026-03-28T15:00:33.068357Z
SASRec,0.137600,0.136500,0.137600,0.136500,0.137600,0.136500,C1D4,C1,D4,P15_WS_D00_M01_SASREC_C1D4_S1,WS_LASTFM0_03_SASREC_C1D4_S1,lastfm0.03,C1D4,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c1d4_s1_20260328_150337_206231_pid373501.json,2026-03-28T15:35:07.071922Z
SASRec,0.137600,0.136500,0.137600,0.136500,0.125900,0.126300,C2D1,C2,D1,P15_WS_D00_M01_SASREC_C2D1_S1,WS_LASTFM0_03_SASREC_C2D1_S1,lastfm0.03,C2D1,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c2d1_s1_20260328_150337_208735_pid373502.json,2026-03-28T15:35:30.170344Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.230300,0.230100,C1D3,C1,D3,P15_WS_D00_M01_SASREC_C1D3_S1,WS_LASTFM0_03_SASREC_C1D3_S1,lastfm0.03,C1D3,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c1d3_s1_20260328_150337_089777_pid373500.json,2026-03-28T15:57:53.602912Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.229200,0.228300,C2D2,C2,D2,P15_WS_D00_M01_SASREC_C2D2_S1,WS_LASTFM0_03_SASREC_C2D2_S1,lastfm0.03,C2D2,1,7,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c2d2_s1_20260328_150337_303775_pid373503.json,2026-03-28T16:19:06.971736Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.194400,0.195400,C2D4,C2,D4,P15_WS_D00_M01_SASREC_C2D4_S1,WS_LASTFM0_03_SASREC_C2D4_S1,lastfm0.03,C2D4,1,6,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c2d4_s1_20260328_153535_221100_pid373685.json,2026-03-28T16:41:27.412045Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.180800,0.180900,C3D1,C3,D1,P15_WS_D00_M01_SASREC_C3D1_S1,WS_LASTFM0_03_SASREC_C3D1_S1,lastfm0.03,C3D1,1,4,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c3d1_s1_20260328_155758_524644_pid373726.json,2026-03-28T16:52:42.173824Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.228000,0.228000,C2D3,C2,D3,P15_WS_D00_M01_SASREC_C2D3_S1,WS_LASTFM0_03_SASREC_C2D3_S1,lastfm0.03,C2D3,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c2d3_s1_20260328_153512_174586_pid373664.json,2026-03-28T17:22:37.094474Z
SASRec,0.230300,0.230100,0.230300,0.230100,0.100500,0.100100,C4D1,C4,D1,P15_WS_D00_M01_SASREC_C4D1_S1,WS_LASTFM0_03_SASREC_C4D1_S1,lastfm0.03,C4D1,1,5,run_complete,10,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/widesearch_anchor2_core5/P15/lastfm0.03/SASRec/lastfm0.03_SASRec_p15_ws_d00_m01_sasrec_c4d1_s1_20260328_172242_184098_pid373872.json,2026-03-28T17:53:33.047453Z
