stage,model,best_candidate_id,best_valid_mrr20,best_test_mrr20,cum_best_valid_mrr20,cum_best_test_mrr20,last_update_utc
A,gru4rec,A017_L03,0.0153,0.0074,0.0153,0.0074,2026-04-14T12:50:27.779333+00:00
A,gru4rec,A017_L03,0.0153,0.0074,0.0153,0.0074,2026-04-14T13:36:55.343340+00:00
A,sasrec,A006_L04,0.0798,0.0595,0.0798,0.0595,2026-04-14T12:50:27.779826+00:00
A,sasrec,A006_L04,0.0798,0.0595,0.0798,0.0595,2026-04-14T13:36:55.343775+00:00
A,tisasrec,A007_L04,0.0482,0.0351,0.0482,0.0351,2026-04-14T12:50:27.780818+00:00
A,tisasrec,A007_L04,0.0482,0.0351,0.0482,0.0351,2026-04-14T13:36:55.344225+00:00
