question,stage,dataset,model,family,panel_family,variant_group,variant_label,variant_order,job_id,parent_job_id,run_phase,setting_key,setting_label,base_rank,base_tag,seed_id,runtime_seed,gpu_id,status,selection_rule,valid_score,test_score,best_valid_mrr20,test_mrr20,checkpoint_file,result_path,base_result_json,log_path,elapsed_sec,error,timestamp_utc
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Flat sparse top-2,7,SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R01_S1,,SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R01_S1,global_top2,Global Top-2,1,retail_rocket_top01_23090_results,1,960046,resume,ok,overall_seen_target,0.4505291627396129,0.4440333333333334,0.3709,0.3691,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_global_top2_r01_s1_20260420_181018_502494_pid80403.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_pg1_20260419_083920_955173_pid340636.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R01_S1.log,640.2178137302399,,2026-04-21T05:53:32.778593Z
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Top-2gr Top-1ex (2 act.),6,SPARSE_RETAIL_ROCKET_GROUP_TOP1_R01_S1,,SPARSE_RETAIL_ROCKET_GROUP_TOP1_R01_S1,group_top1,Group Top-1,1,retail_rocket_top01_23090_results,1,960049,resume,ok,overall_seen_target,0.44935555555555556,0.4424607901971722,0.3709,0.368,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_group_top1_r01_s1_20260420_181106_942690_pid80436.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_pg1_20260419_083920_955173_pid340636.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_GROUP_TOP1_R01_S1.log,587.9066591262817,,2026-04-21T05:53:32.784263Z
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Dense full mixture,1,SPARSE_RETAIL_ROCKET_DENSE_GLOBAL_R02_S1,,SPARSE_RETAIL_ROCKET_DENSE_GLOBAL_R02_S1,dense_global,Dense (k=0),2,retail_rocket_top02_23090_results,1,960050,resume,ok,overall_seen_target,0.4481146719719084,0.4410888888888889,0.371,0.3677,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_dense_global_r02_s1_20260420_181135_552509_pid80447.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_glb4_20260419_084144_008453_pid341289.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_DENSE_GLOBAL_R02_S1.log,639.559018611908,,2026-04-21T05:53:32.785130Z
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Flat sparse top-8,3,SPARSE_RETAIL_ROCKET_GLOBAL_TOP8_R02_S1,,SPARSE_RETAIL_ROCKET_GLOBAL_TOP8_R02_S1,global_top8,Global Top-8,2,retail_rocket_top02_23090_results,1,960051,resume,ok,overall_seen_target,0.4495555555555556,0.44291005035777814,0.3716,0.369,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_global_top8_r02_s1_20260420_181744_475433_pid80463.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_glb4_20260419_084144_008453_pid341289.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_GLOBAL_TOP8_R02_S1.log,638.3603858947754,,2026-04-21T05:53:32.786007Z
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Flat sparse top-2,7,SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R02_S1,,SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R02_S1,global_top2,Global Top-2,2,retail_rocket_top02_23090_results,1,960053,resume,ok,overall_seen_target,0.44975255744051407,0.44321293077155194,0.3712,0.3689,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_global_top2_r02_s1_20260420_181808_943006_pid80478.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_glb4_20260419_084144_008453_pid341289.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_GLOBAL_TOP2_R02_S1.log,581.1429834365845,,2026-04-21T05:53:32.789199Z
sparse,sparse,retail_rocket,featured_moe_n3,route,sparse,sparse,Top-2gr Top-1ex (2 act.),6,SPARSE_RETAIL_ROCKET_GROUP_TOP1_R02_S1,,SPARSE_RETAIL_ROCKET_GROUP_TOP1_R02_S1,group_top1,Group Top-1,2,retail_rocket_top02_23090_results,1,960056,resume,ok,overall_seen_target,0.4486111111111112,0.4423555555555556,0.372,0.3688,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/retail_rocket_FeaturedMoE_N3_sparse_retail_rocket_group_top1_r02_s1_20260420_182058_720581_pid80510.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/23090_results/final_experiment_topk_test/normal/topk_test/TOPK/retail_rocket/FMoEN3/retail_rocket_FeaturedMoE_N3_topk_retail_rocket_featured_moe_n3_glb4_20260419_084144_008453_pid341289.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/retail_rocket/featured_moe_n3/route/SPARSE_RETAIL_ROCKET_GROUP_TOP1_R02_S1.log,665.4483904838562,,2026-04-21T05:53:32.794759Z
sparse,sparse,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,sparse,sparse,Dense full mixture,1,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_DENSE_GLOBAL_R03_S1,,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_DENSE_GLOBAL_R03_S1,dense_global,Dense (k=0),3,kuaireclargestrictposv2_0_2_top03_rfmoe,1,960015,6,ok,overall_seen_target,0.026900000000000004,0.3482461156622753,0.0203,0.3383,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_sparse_kuaireclargestrictposv2_0_2_dense_global_r03_s1_20260421_055336_803600_pid104525.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/kuaireclargestrictposv2_0_2/featured_moe_n3/route/SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_DENSE_GLOBAL_R03_S1.log,645.5889706611633,,2026-04-21T06:04:18.413548Z
sparse,sparse,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,sparse,sparse,Top-3gr Top-2ex — main,5,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_TOP2_R01_S1,,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_TOP2_R01_S1,group_top2,Group Top-2,1,kuaireclargestrictposv2_0_2_top01_rfmoe,1,960006,2,ok,overall_seen_target,0.02614164278400551,0.34707135632791764,0.0189,0.3385,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_sparse_kuaireclargestrictposv2_0_2_group_top2_r01_s1_20260421_055336_669069_pid104520.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/kuaireclargestrictposv2_0_2/featured_moe_n3/route/SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_TOP2_R01_S1.log,736.2845966815948,,2026-04-21T06:05:49.095401Z
sparse,sparse,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,sparse,sparse,Dense per group,2,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_DENSE_R02_S1,,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_DENSE_R02_S1,group_dense,Dense per Group,2,kuaireclargestrictposv2_0_2_top02_rfmoe,1,960012,4,ok,overall_seen_target,0.02518888888888889,0.3460323835885449,0.0181,0.3377,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_sparse_kuaireclargestrictposv2_0_2_group_dense_r02_s1_20260421_055336_758816_pid104523.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r19_20260418_094707_880811_pid110717.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/kuaireclargestrictposv2_0_2/featured_moe_n3/route/SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GROUP_DENSE_R02_S1.log,753.8901896476746,,2026-04-21T06:06:06.703954Z
sparse,sparse,KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,route,sparse,sparse,Flat sparse top-8,3,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GLOBAL_TOP8_R03_S1,,SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GLOBAL_TOP8_R03_S1,global_top8,Global Top-8,3,kuaireclargestrictposv2_0_2_top03_rfmoe,1,960016,7,ok,overall_seen_target,0.02592222222222222,0.3468828302697673,0.0198,0.3395,,/workspace/FeaturedMoE/experiments/run/artifacts/results/real_final_ablation_appendix/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_sparse_kuaireclargestrictposv2_0_2_global_top8_r03_s1_20260421_055336_789335_pid104526.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s1_kuaireclargestrictposv2_0_2_featured_moe_n3_r05_20260418_072814_734138_pid86877.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/real_final_ablation/appendix/sparse/kuaireclargestrictposv2_0_2/featured_moe_n3/route/SPARSE_KUAIRECLARGESTRICTPOSV2_0_2_GLOBAL_TOP8_R03_S1.log,756.3988215923309,,2026-04-21T06:06:09.227100Z
