avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
5.8362392139434816,True,25,0.0148,ok,0.159,0.11124205589294434,0.0758,1
1.6114549107021756,True,45,0.0156,ok,0.1601,0.05784916877746582,0.0785,2
1.1922490417957305,True,40,0.0166,ok,0.1165,0.05774998664855957,0.0574,3
10.116611460844675,True,36,0.0147,ok,0.2228,0.17481112480163574,0.1635,4
1.7860627278037693,True,23,0.0158,ok,0.0638,0.06074857711791992,0.0247,5
1.6467166145642598,True,36,0.0161,ok,0.1814,0.05637168884277344,0.1098,6
9.571396684646606,True,30,0.0171,ok,0.2105,0.1198420524597168,0.1205,7
1.8806883096694946,True,24,0.0165,ok,0.2508,0.05512714385986328,0.1853,8
1.4117016394933064,True,24,0.0167,ok,0.1153,0.05551958084106445,0.053,9
3.733664787732638,True,13,0.0141,ok,0.0381,0.06357598304748535,0.0124,10
2.220556524064806,True,36,0.0166,ok,0.2665,0.05901694297790527,0.2012,11
4.442259207367897,True,32,0.0172,ok,0.2374,0.09901690483093262,0.159,12
2.071739021100496,True,19,0.0152,ok,0.3203,0.06681036949157715,0.2548,13
14.611204226811727,True,21,0.0154,ok,0.2531,0.214555025100708,0.1658,14
2.045685686171055,True,32,0.0171,ok,0.2542,0.05768084526062012,0.1912,15
1.6120746416204117,True,17,0.0164,ok,0.2475,0.05655789375305176,0.184,16
2.50398196023086,True,29,0.0158,ok,0.2374,0.06036019325256348,0.1724,17
5.781809215545654,True,25,0.0156,ok,0.2296,0.10900449752807617,0.166,18
1.4323075264692307,True,48,0.0177,ok,0.2531,0.05709123611450195,0.1849,19
