dataset,split,group,family,polarity,tier,support_rows,support_sessions,core_score_mean,core_score_median,balance_mean,contam_mean,memory_plus_mean,focus_plus_mean,tempo_plus_mean,exposure_plus_mean,core_cut,contam_cut
KuaiRecLargeStrictPosV2_0.2,valid,memory_plus,memory,plus,pure,2605,842,0.07675305496196008,0.05,0.5513068276977027,0.4486931723022973,0.07675305496196008,0.378666446405643,0.399432404260059,0.5182751923959767,0.05,0.8773432822
KuaiRecLargeStrictPosV2_0.2,valid,memory_plus,memory,plus,permissive,3497,1002,0.04307857389814584,0.04,0.32112373107938735,0.6788762689206128,0.04307857389814584,0.21396192458200744,0.3502670868775512,0.5045407062490915,0.04,0.92
KuaiRecLargeStrictPosV2_0.2,valid,memory_minus,memory,minus,pure,3887,94,0.9959183673460001,0.995918367346,0.3154907032976329,0.684509296702367,0.004081632654000002,0.17216286037271933,0.5957563741313104,0.5720857211134711,0.995918367346,0.9
KuaiRecLargeStrictPosV2_0.2,valid,memory_minus,memory,minus,permissive,2230,62,0.9954155521379903,0.995454545454,0.33928034328738865,0.6607196567126113,0.004584447862009866,0.1838852151190852,0.4793642457242977,0.5605224155742667,0.995,0.94285714284
KuaiRecLargeStrictPosV2_0.2,valid,focus_plus,focus,plus,pure,3548,1310,0.6870018751427058,0.5773877405800001,0.06759978406667043,0.9324002159333297,0.2569851128159453,0.6870018751427058,0.5356811041721588,0.5974153400710123,0.51072107392,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,focus_plus,focus,plus,permissive,2778,1589,0.4746173594308495,0.47471918669,0.05608624668135684,0.9439137533186432,0.028076221995420442,0.4746173594308495,0.4425232050168966,0.5116267067334501,0.45,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,focus_minus,focus,minus,pure,3402,874,0.9546337968680952,0.9501707964,0.06059068110948695,0.9394093188905132,0.030317210227896532,0.04536620313190476,0.35630771335045147,0.5132121703948327,0.94321331172,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,focus_minus,focus,minus,permissive,2741,474,0.9343090367221014,0.93442783698,0.02992801196911006,0.97007198803089,0.014972411955128054,0.06569096327789858,0.41085877837596496,0.5315672722613919,0.92727811332,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,tempo_plus,tempo,plus,pure,2589,465,0.7687912110830726,0.7587091903666666,0.028518669084694758,0.9714813309153053,0.015325304704446504,0.16357968218472,0.7687912110830726,0.5848755634579951,0.6941512069466665,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,tempo_plus,tempo,plus,permissive,2673,802,0.6466454219483067,0.6444562402099999,0.029596870213455556,0.9704031297865445,0.015447735688326976,0.1798017143213917,0.6466454219483067,0.5610683648299364,0.6063756772413333,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,tempo_minus,tempo,minus,pure,3376,1326,0.8708448534316449,0.8647783564166667,0.05735454091719549,0.9426454590828046,0.030424740165540875,0.17017514319833532,0.12915514656835506,0.5294711852745112,0.8127026401666667,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,tempo_minus,tempo,minus,permissive,2699,1430,0.7800835695442015,0.7793605465333333,0.047798756735422,0.952201243264578,0.02431309850377696,0.16630964059122638,0.21991643045579845,0.523255362225591,0.75070216888,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,exposure_plus,exposure,plus,pure,3214,684,0.6752018774322909,0.6715196992166665,0.039415026422044815,0.9605849735779551,0.021077194072377722,0.20925437274948974,0.44558186255838217,0.6752018774322909,0.6582554233733333,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,exposure_plus,exposure,plus,permissive,4234,1142,0.6866671379081732,0.6495958238166666,0.029498462999741147,0.9705015370002589,0.20591320456509968,0.3657170663093812,0.5309432427372952,0.6866671379081732,0.6363654645173332,1.0
KuaiRecLargeStrictPosV2_0.2,valid,exposure_minus,exposure,minus,pure,4057,2028,0.691735632749422,0.6835485062966666,0.05013925582802037,0.9498607441719797,0.026002308593849645,0.19561783123934437,0.3670351396854503,0.308264367250578,0.622883046648,0.991836734692
KuaiRecLargeStrictPosV2_0.2,valid,exposure_minus,exposure,minus,permissive,3391,1879,0.5788611387335445,0.5766958198333334,0.049103314523304825,0.9508966854766953,0.026700348704792685,0.23602065091476263,0.39506939885434644,0.42113886126645556,0.5415979860986666,1.0
KuaiRecLargeStrictPosV2_0.2,test,memory_plus,memory,plus,pure,1393,646,0.5327796473997014,0.5285714285800001,0.3731326804367724,0.6268673195632275,0.5327796473997014,0.29953242619216075,0.7389102457280277,0.5211212271160851,0.5222222222,0.86705381348
KuaiRecLargeStrictPosV2_0.2,test,memory_plus,memory,plus,permissive,1487,1044,0.3448081473231163,0.32,0.4287516374476377,0.5712483625523623,0.3448081473231163,0.2908248606515669,0.4994555744037767,0.509824913928242,0.29818181815999995,0.90938419524
KuaiRecLargeStrictPosV2_0.2,test,memory_minus,memory,minus,pure,1457,80,0.9958385697394209,0.995918367346,0.292117042366637,0.7078829576333631,0.004161430260579273,0.1546130152486891,0.568342667442496,0.5290683656324948,0.995454545454,0.8918279058
KuaiRecLargeStrictPosV2_0.2,test,memory_minus,memory,minus,permissive,1210,113,0.9939614840476314,0.99393939394,0.28576765288547656,0.7142323471145234,0.006038515952368594,0.14990419883284298,0.4431201026860771,0.5273690519362094,0.992307692308,0.92
KuaiRecLargeStrictPosV2_0.2,test,focus_plus,focus,plus,pure,1461,912,0.6272804197575085,0.58795405642,0.3170505684532065,0.6829494315467934,0.2513043632418508,0.6272804197575085,0.5508003443479507,0.5161337294110657,0.53121731084,0.990909090908
KuaiRecLargeStrictPosV2_0.2,test,focus_plus,focus,plus,permissive,1183,950,0.4780389103063567,0.4774394385,0.13561760500401465,0.8643823949959853,0.08520897714472526,0.4780389103063567,0.45144783998250976,0.4942311304081488,0.44000000000000006,0.991836734692
KuaiRecLargeStrictPosV2_0.2,test,focus_minus,focus,minus,pure,1406,621,0.9547620905452204,0.95009431134,0.06396233605583497,0.936037663944165,0.032000047588301564,0.04523790945477951,0.33965358478088625,0.4919920765668836,0.94319665402,0.990909090908
KuaiRecLargeStrictPosV2_0.2,test,focus_minus,focus,minus,permissive,1226,366,0.9329788121113378,0.93241859506,0.025480563122208817,0.9745194368777913,0.012740281561104407,0.06702118788866232,0.4389628223031207,0.5118163654888512,0.9234714320599999,0.991836734692
KuaiRecLargeStrictPosV2_0.2,test,tempo_plus,tempo,plus,pure,1291,546,0.8403618095515047,0.833726093303,0.4651029986547276,0.5348970013452724,0.43423967944581876,0.3101583657059024,0.8403618095515047,0.527134384223895,0.7511942931733334,0.991111111112
KuaiRecLargeStrictPosV2_0.2,test,tempo_plus,tempo,plus,permissive,1317,635,0.7149525389730749,0.7077053424,0.22281110395949988,0.7771888960405001,0.19992430638262718,0.20188268097515563,0.7149525389730749,0.5282773915098077,0.6590158163416867,0.991836734692
KuaiRecLargeStrictPosV2_0.2,test,tempo_minus,tempo,minus,pure,1451,921,0.8608981829130484,0.8543374201333334,0.10928623845071353,0.8907137615492864,0.06529656432799587,0.17600522442980013,0.13910181708695155,0.511332028570129,0.8026079391733333,0.991111111112
KuaiRecLargeStrictPosV2_0.2,test,tempo_minus,tempo,minus,permissive,1173,856,0.7699295473522023,0.7701823885666667,0.10459369976392555,0.8954063002360743,0.06343726066594373,0.1704366285763001,0.23007045264779769,0.5055384384336001,0.7354804036966667,0.991836734692
KuaiRecLargeStrictPosV2_0.2,test,exposure_plus,exposure,plus,pure,1668,743,0.6598722997109452,0.65564168755,0.20317934524864206,0.796820654751358,0.17086281321958752,0.24410908518405275,0.4539997607713229,0.6598722997109452,0.6377636170693334,0.991666666668
KuaiRecLargeStrictPosV2_0.2,test,exposure_plus,exposure,plus,permissive,1520,830,0.6263351862606579,0.6261337002,0.1598055200192045,0.8401944799807955,0.13526526891500526,0.21709354100219735,0.4685412997365099,0.6263351862606579,0.6128652397853334,0.991836734692
KuaiRecLargeStrictPosV2_0.2,test,exposure_minus,exposure,minus,pure,1675,1238,0.68981176872454,0.6850730232866666,0.1474917015305049,0.8525082984694952,0.12305916438357971,0.2217492545933015,0.41179877801606457,0.3101882312754599,0.6321029825853334,0.991666666668
KuaiRecLargeStrictPosV2_0.2,test,exposure_minus,exposure,minus,permissive,1520,1057,0.6028445507994693,0.6001267562666667,0.14260205523274017,0.8573979447672597,0.12319042378245,0.22527078116051313,0.4551768051902875,0.3971554492005307,0.5709912990393334,0.991836734692
lastfm0.03,valid,memory_plus,memory,plus,pure,5584,1025,0.4806354355649946,0.44000000000000006,0.3090180020875934,0.6909819979124067,0.4806354355649946,0.7170199961174474,0.5007302543539741,0.5870728398367568,0.22709677418400004,1.0
lastfm0.03,valid,memory_plus,memory,plus,permissive,5594,659,0.13892368226806687,0.13125,0.3795249755792741,0.6204750244207259,0.13892368226806687,0.6256738819809597,0.4884154393836962,0.5510342274800035,0.08333333334599999,1.0
lastfm0.03,valid,memory_minus,memory,minus,pure,6011,141,0.9956127726097717,0.995744680852,0.48357214674548016,0.5164278532545199,0.004387227390228249,0.4350186551125158,0.5696675731697115,0.5487403500850679,0.995,1.0
lastfm0.03,valid,memory_minus,memory,minus,permissive,4275,135,0.9941014899803966,0.994117647058,0.46824406157953335,0.5317559384204665,0.005898510019603274,0.47007471970217724,0.4911015722176831,0.5349140149585255,0.993333333334,1.0
lastfm0.03,valid,focus_plus,focus,plus,pure,11508,1203,1.0,1.0,0.14254947855028718,0.8574505214497128,0.11941747188587834,1.0,0.5189969333195503,0.578788670014658,1.0,0.99024390244
lastfm0.03,valid,focus_plus,focus,plus,permissive,67,13,1.0,1.0,0.008442134360963229,0.9915578656390369,0.061283820474477606,1.0,0.47765130216156815,0.5955478088830846,1.0,0.991836734692
lastfm0.03,valid,focus_minus,focus,minus,pure,5000,617,0.871885002832572,0.8653233238,0.060406520932836875,0.9395934790671631,0.0339831325899496,0.128114997167428,0.3984192122805292,0.5171316605292834,0.8230385435800001,0.99024390244
lastfm0.03,valid,focus_minus,focus,minus,permissive,4986,681,0.7949273200122543,0.79497904414,0.07879837627053483,0.9212016237294651,0.044706439332137186,0.20507267998774567,0.4651446108144894,0.5398982290053643,0.7494330808379999,0.991836734692
