question,dataset_scope,dataset,model_name,model,status,error,benchmark_epochs,build_sec,train_sec,infer_sec,total_params,active_params,timestamp_utc,train_time_ratio,infer_time_ratio
cost,dynamic,KuaiRecLargeStrictPosV2_0.2,SASRec,SASRec,planned,,1,,,,,,2026-04-19T11:49:03.049337Z,,
cost,dynamic,KuaiRecLargeStrictPosV2_0.2,RouteRec-dense,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T11:49:03.049366Z,,
cost,dynamic,KuaiRecLargeStrictPosV2_0.2,RouteRec-sparse-final,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T11:49:03.049372Z,,
cost,stable,KuaiRecLargeStrictPosV2_0.2,SASRec,SASRec,planned,,1,,,,,,2026-04-19T11:49:03.496943Z,,
cost,stable,KuaiRecLargeStrictPosV2_0.2,RouteRec-dense,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T11:49:03.496968Z,,
cost,stable,KuaiRecLargeStrictPosV2_0.2,RouteRec-sparse-final,FeaturedMoE_N3,planned,,1,,,,,,2026-04-19T11:49:03.496975Z,,
