best_mrr20_seen,best_run_result_file,combo_id,dataset,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,run_count
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_044901_324958_pid247324.json,A01,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_053205_658250_pid257548.json,0.1619,FeaturedMoE_N3,2
0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_044901_353178_pid247325.json,A02,KuaiRecLargeStrictPosV2_0.2,0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_053205_818331_pid257549.json,0.1607,FeaturedMoE_N3,2
0.3678,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823.json,A02,lastfm0.03,0.3678,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823.json,0.3463,FeaturedMoE_N3,1
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_044901_623386_pid247326.json,A03,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_053205_809195_pid257550.json,0.1615,FeaturedMoE_N3,3
0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_044901_330341_pid247327.json,A04,KuaiRecLargeStrictPosV2_0.2,0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_053205_771659_pid257551.json,0.1609,FeaturedMoE_N3,3
0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,A05,KuaiRecLargeStrictPosV2_0.2,0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,0.162,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499.json,A06,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499.json,0.1616,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232.json,F01,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232.json,0.1619,FeaturedMoE_N3,1
0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622.json,F02,KuaiRecLargeStrictPosV2_0.2,0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622.json,0.1605,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497.json,F03,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497.json,0.1619,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f04_20260314_122829_445314_pid272411.json,F04,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f04_20260314_122829_445314_pid272411.json,0.1616,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l01_20260314_082344_454756_pid264791.json,L01,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l01_20260314_082344_454756_pid264791.json,0.1614,FeaturedMoE_N3,1
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l02_20260314_095129_634600_pid265002.json,L02,KuaiRecLargeStrictPosV2_0.2,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l02_20260314_095129_634600_pid265002.json,0.1616,FeaturedMoE_N3,1
0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l03_20260314_093816_593584_pid264974.json,L03,KuaiRecLargeStrictPosV2_0.2,0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l03_20260314_093816_593584_pid264974.json,0.1617,FeaturedMoE_N3,1
0.0795,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l04_20260314_095335_862631_pid265025.json,L04,KuaiRecLargeStrictPosV2_0.2,0.0795,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_l04_20260314_095335_862631_pid265025.json,0.1602,FeaturedMoE_N3,1
