best_mrr20_seen,best_run_result_file,combo_id,dataset,early_valid.overall.count,early_valid.overall.hit@20,early_valid.overall.mrr@20,early_valid.overall.ndcg@20,latest_best_mrr20,latest_result_file,latest_special_log_file,latest_special_result_file,latest_test_mrr20,model,run_count,test.overall.count,test.overall.hit@20,test.overall.mrr@20,test.overall.ndcg@20,valid.overall.count,valid.overall.hit@20,valid.overall.mrr@20,valid.overall.ndcg@20
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_044901_324958_pid247324.json,A01,KuaiRecLargeStrictPosV2_0.2,37922,0.07119877643584199,0.0645505532082631,0.06601390622394711,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_053205_658250_pid257548.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A01/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_053205_658250_pid257548_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A01/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a01_20260314_053205_658250_pid257548_special_metrics.json,0.1619,FeaturedMoE_N3,2,37939,0.21882495585018055,0.16190198363236527,0.17407959929831074,37922,0.14909551184009281,0.08032950269121512,0.09503418786640717
0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_044901_353178_pid247325.json,A02,KuaiRecLargeStrictPosV2_0.2,37922,0.07378302832129108,0.0599844008942518,0.06302728515337819,0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_053205_818331_pid257549.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A02/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_053205_818331_pid257549_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A02/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a02_20260314_053205_818331_pid257549_special_metrics.json,0.1607,FeaturedMoE_N3,2,37939,0.21748069269089854,0.16069679633438855,0.1728276882671481,37922,0.14753968672538367,0.08015495039075479,0.09459758345480741
0.3678,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823.json,A02,lastfm0.03,,,,,0.3678,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A02/lastfm0.03/FMoEN3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A02/lastfm0.03/FMoEN3/lastfm0.03_FeaturedMoE_N3_a02_20260314_160754_160163_pid309823_special_metrics.json,0.3463,FeaturedMoE_N3,1,,,,,,,,
0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_044901_623386_pid247326.json,A03,KuaiRecLargeStrictPosV2_0.2,37922,0.07354569906650493,0.06253758980707179,0.06497738285410738,0.0803,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_053205_809195_pid257550.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A03/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_053205_809195_pid257550_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A03/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a03_20260314_053205_809195_pid257550_special_metrics.json,0.1615,FeaturedMoE_N3,3,37939,0.2176915575001977,0.1614562416527595,0.17345237075385422,37922,0.1482516744897421,0.08032567396659393,0.09487834975165058
0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_044901_330341_pid247327.json,A04,KuaiRecLargeStrictPosV2_0.2,37922,0.07151521544222351,0.06581081293820376,0.06703905218902831,0.0801,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_053205_771659_pid257551.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A04/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_053205_771659_pid257551_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A04/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a04_20260314_053205_771659_pid257551_special_metrics.json,0.1609,FeaturedMoE_N3,3,37939,0.2189831044571549,0.16094330508457222,0.17336621378850897,37922,0.1500448288592374,0.08007593318269095,0.0950419812927731
0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,A05,KuaiRecLargeStrictPosV2_0.2,37922,0.0697484309899267,0.06590297773958233,0.06673912481703428,0.0811,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A05/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A05/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a05_20260314_065556_106453_pid264454_special_metrics.json,0.162,FeaturedMoE_N3,1,37939,0.2203010095152745,0.16196418122735948,0.1744056936469213,37922,0.15225990190390803,0.0810942784131334,0.09628528007187048
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499.json,A06,KuaiRecLargeStrictPosV2_0.2,37922,0.06721691893887453,0.05076763864350617,0.054543258311765985,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/A06/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/A06/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_a06_20260314_071000_115512_pid264499_special_metrics.json,0.1616,FeaturedMoE_N3,1,37939,0.21824507762460793,0.1616428885033018,0.17377513400579328,37922,0.15131058488476345,0.08058493715096916,0.09569342678541386
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232.json,F01,KuaiRecLargeStrictPosV2_0.2,37922,0.0709350772638574,0.06482646140581784,0.06617308786543329,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/F01/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/F01/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f01_20260314_110034_723216_pid265232_special_metrics.json,0.1619,FeaturedMoE_N3,1,37939,0.22024829331294973,0.16194016083545917,0.17439446444110981,37922,0.15099414587838195,0.0805565540897226,0.09560992097239739
0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622.json,F02,KuaiRecLargeStrictPosV2_0.2,37922,0.07069774800907125,0.0658343979831158,0.06688966802801992,0.0802,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/F02/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/F02/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f02_20260314_122253_220656_pid271622_special_metrics.json,0.1605,FeaturedMoE_N3,1,37939,0.2196156988850523,0.1605020758658023,0.1731675261803296,37922,0.15144243447075575,0.08024747366030931,0.09546023612087219
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497.json,F03,KuaiRecLargeStrictPosV2_0.2,37922,0.07336110964611571,0.06342142643868204,0.06559404375930544,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497.json,/workspace/jy1559/FMoE/experiments/run/artifacts/logs/fmoe_n3/special/phase1_upgrade_v1/F03/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497_special_metrics.json,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/special/phase1_upgrade_v1/F03/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_f03_20260314_121358_167904_pid270497_special_metrics.json,0.1619,FeaturedMoE_N3,1,37939,0.22048551622341125,0.16193329355682864,0.1744349247920387,37922,0.15152154422235115,0.08055891825323253,0.09572327695168069
