dataset,model,combo_id,run_phase,n_completed,interrupted,best_valid_mrr20,test_mrr20,test_hr10,test_path,overall_hit@5,overall_hit@10,overall_hit@20,overall_ndcg@5,overall_ndcg@10,overall_ndcg@20,overall_mrr@5,overall_mrr@10,overall_mrr@20,seen_hit@5,seen_hit@10,seen_hit@20,seen_ndcg@5,seen_ndcg@10,seen_ndcg@20,seen_mrr@5,seen_mrr@10,seen_mrr@20,unseen_hit@5,unseen_hit@10,unseen_hit@20,unseen_ndcg@5,unseen_ndcg@10,unseen_ndcg@20,unseen_mrr@5,unseen_mrr@10,unseen_mrr@20
beauty,FDSA,C2,PAIR60_V3_LR10_DBEAUTY_MFDSA_P029_C2_S1,10,False,0.0853,0.0778,0.1335,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/FDSA/beauty_FDSA_pair60_v3_lr10_dbeauty_mfdsa_p029_c2_s1_20260415_030905_859554_pid1135005.json,0.07221350078492936,0.08948194662480377,0.11459968602825746,0.054155384352667556,0.059613462286055366,0.06593088183429215,0.048246991175871626,0.05042672758480443,0.052142193134482276,0.10772833723653395,0.13348946135831383,0.17096018735362997,0.08078917993594667,0.0889315584923121,0.09835590568722272,0.07197501962302161,0.07522675754454432,0.07778589467603093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,SASRec,C1,PAIR60_V3_LR10_DBEAUTY_MSASREC_P021_C1_S1,10,False,0.0698,0.0735,0.1288,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/SASRec/beauty_SASRec_pair60_v3_lr10_dbeauty_msasrec_p021_c1_s1_20260415_022530_003147_pid1131727.json,0.07378335949764521,0.08634222919937205,0.10832025117739404,0.05272141973863778,0.05701543589588986,0.06253497442888502,0.045839874532945114,0.04774613161476291,0.04924659197053505,0.11007025761124122,0.1288056206088993,0.16159250585480095,0.07864998682321374,0.08505581420534389,0.09328987988571373,0.06838407512291812,0.07122783568759712,0.07346622736588015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,TiSASRec,C3,PAIR60_V3_LR10_DBEAUTY_MTISASREC_P023_C3_S1,10,False,0.0715,0.0711,0.1265,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/TiSASRec/beauty_TiSASRec_pair60_v3_lr10_dbeauty_mtisasrec_p023_c3_s1_20260415_024420_583338_pid1132968.json,0.06750392464678179,0.0847723704866562,0.09733124018838304,0.05036014964105196,0.055878351958617685,0.05891893645002853,0.04468864478533459,0.04692444758521893,0.047691055314741104,0.10070257611241218,0.12646370023419204,0.1451990632318501,0.07512743634976604,0.0833595086595772,0.08789546257299338,0.06666666681090898,0.07000204475827743,0.07114567268264657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,FeaturedMoE_N3,C2,PAIR60_V3_LR10_DBEAUTY_MFEATURED_MOE_N3_P030_C2_S1,10,False,0.0759,0.0709,0.1452,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/FMoEN3/beauty_FeaturedMoE_N3_pair60_v3_lr10_dbeauty_mfeatured_moe_n3_p030_c2_s1_20260415_031455_024726_pid1135404.json,0.0706436420722135,0.09733124018838304,0.13343799058084774,0.048768856789291,0.057271573476177555,0.06634505682594173,0.041601256050719196,0.04503438760946085,0.04749789778464818,0.1053864168618267,0.1451990632318501,0.1990632318501171,0.07275354045615542,0.08543792108741242,0.09897377329771637,0.06206089017402372,0.06718244708952356,0.07085751964595055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,DuoRec,C2,PAIR60_V3_LR10_DBEAUTY_MDUOREC_P024_C2_S1,10,False,0.0587,0.0502,0.1218,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/DuoRec/beauty_DuoRec_pair60_v3_lr10_dbeauty_mduorec_p024_c2_s1_20260415_024840_986125_pid1133452.json,0.06279434850863422,0.0847723704866562,0.11616954474097331,0.03768884873652196,0.045139065062045305,0.05321393953855595,0.029147043566875967,0.0324281729535555,0.03471291998000684,0.0936768149882904,0.12177985948477751,0.15690866510538642,0.05622434811513932,0.06572375622789531,0.07474128828674066,0.043481655157142834,0.047651574591423364,0.050192371071850664,0.0,0.009523809523809525,0.03333333333333333,0.0,0.0032835263581503004,0.009441663750580379,0.0,0.0014739229565575009,0.0032380360932577224
beauty,FEARec,C1,PAIR60_V3_LR10_DBEAUTY_MFEAREC_P026_C1_S1,10,False,0.0602,0.0492,0.1148,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/FEARec/beauty_FEARec_pair60_v3_lr10_dbeauty_mfearec_p026_c1_s1_20260415_025712_135009_pid1134040.json,0.06593406593406594,0.0847723704866562,0.10675039246467818,0.039620439617001284,0.045805563030287835,0.051192793357690426,0.030716902279591823,0.03332648096457007,0.034714700855911246,0.0936768149882904,0.11475409836065574,0.1405152224824356,0.05692633127998691,0.06396517618199422,0.0703341046945831,0.04445745529000597,0.047491729172247636,0.049161454091236796,0.009523809523809525,0.023809523809523808,0.0380952380952381,0.004431793235597156,0.008881016288484846,0.012272126972675323,0.0027777778250830513,0.004523809608959016,0.005339635944082623
beauty,GRU4Rec,C1,PAIR60_V3_LR10_DBEAUTY_MGRU4REC_P022_C1_S1,10,False,0.0439,0.0262,0.0679,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/GRU4Rec/beauty_GRU4Rec_pair60_v3_lr10_dbeauty_mgru4rec_p022_c1_s1_20260415_023939_147840_pid1132542.json,0.03139717425431711,0.04552590266875981,0.059654631083202514,0.01884199129168991,0.02341348948059501,0.0270049058988667,0.014704343405211552,0.01659440349793322,0.017589745817931143,0.0468384074941452,0.06791569086651054,0.08899297423887588,0.028108544385963635,0.03492832037269092,0.04028600716060442,0.02193598770285658,0.024755585546097098,0.026240440482487443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,DIFSR,C2,PAIR60_V3_LR10_DBEAUTY_MDIFSR_P027_C2_S1,10,False,0.0192,0.0208,0.0468,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/DIFSR/beauty_DIFSR_pair60_v3_lr10_dbeauty_mdifsr_p027_c2_s1_20260415_030501_293370_pid1134569.json,0.02040816326530612,0.03139717425431711,0.04081632653061224,0.013948308055404592,0.01748017894229859,0.019950482801328086,0.011773940392154352,0.013218584226289387,0.01394521522231903,0.03044496487119438,0.0468384074941452,0.06088992974238876,0.020808131689210127,0.02607698825818314,0.02976219565444026,0.017564402880099115,0.01971952728839892,0.02080351779067265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beauty,BSARec,C3,PAIR60_V3_LR10_DBEAUTY_MBSAREC_P025_C3_S1,10,False,0.0152,0.0119,0.0281,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/BSARec/beauty_BSARec_pair60_v3_lr10_dbeauty_mbsarec_p025_c3_s1_20260415_025649_978583_pid1133987.json,0.012558869701726845,0.018838304552590265,0.023547880690737835,0.008562630536604901,0.010456805934711379,0.011662840515702636,0.007195185782209484,0.007897261489223649,0.008236208260995066,0.01873536299765808,0.02810304449648712,0.03044496487119438,0.012773760308705672,0.015599497378012056,0.016172449468728808,0.010733801740673163,0.011781160582284459,0.011927530605703661,0.0,0.0,0.009523809523809525,0.0,0.0,0.0024933023112160817,0.0,0.0,0.0007305194934209188
beauty,FAME,C3,PAIR60_V3_LR10_DBEAUTY_MFAME_P028_C3_S1,10,False,0.0053,0.0079,0.0117,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_v3_lr10/PAIR60/beauty/FAME/beauty_FAME_pair60_v3_lr10_dbeauty_mfame_p028_c3_s1_20260415_030824_851569_pid1134921.json,0.006279434850863423,0.007849293563579277,0.007849293563579277,0.005316880424879784,0.005876075388685314,0.005876075388685314,0.005023547885369281,0.00528519101195283,0.00528519101195283,0.00936768149882904,0.0117096018735363,0.0117096018735363,0.007931739650230496,0.008765948530661698,0.008765948530661698,0.007494145206042698,0.007884465280126353,0.007884465280126353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
