metric,FDSA,SASRec,TiSASRec,FeaturedMoE_N3,DuoRec,FEARec,GRU4Rec,DIFSR,BSARec,FAME
hit@5,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0
hit@10,0.0,0.0,0.0,0.0,0.009523809523809525,0.023809523809523808,0.0,0.0,0.0,0.0
hit@20,0.0,0.0,0.0,0.0,0.03333333333333333,0.0380952380952381,0.0,0.0,0.009523809523809525,0.0
ndcg@5,0.0,0.0,0.0,0.0,0.0,0.004431793235597156,0.0,0.0,0.0,0.0
ndcg@10,0.0,0.0,0.0,0.0,0.0032835263581503004,0.008881016288484846,0.0,0.0,0.0,0.0
ndcg@20,0.0,0.0,0.0,0.0,0.009441663750580379,0.012272126972675323,0.0,0.0,0.0024933023112160817,0.0
mrr@5,0.0,0.0,0.0,0.0,0.0,0.0027777778250830513,0.0,0.0,0.0,0.0
mrr@10,0.0,0.0,0.0,0.0,0.0014739229565575009,0.004523809608959016,0.0,0.0,0.0,0.0
mrr@20,0.0,0.0,0.0,0.0,0.0032380360932577224,0.005339635944082623,0.0,0.0,0.0007305194934209188,0.0
