run_phase,run_id,dataset,candidate_id,source_run_phase,base_id,concept_id,combo_id,main_aux,support_aux,hvar_id,seed_id,gpu_id,status,run_best_valid_mrr20,test_mrr20,n_completed,interrupted,result_path,timestamp_utc
P9_2_K1_B4_C0_N4_H1_S1,K1_B4_C0_N4_H1_S1,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H1,1,0,pending,,,,,,2026-03-22T15:03:51.931247Z
P9_2_K1_B4_C0_N4_H1_S2,K1_B4_C0_N4_H1_S2,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H1,2,1,pending,,,,,,2026-03-22T15:03:51.931270Z
P9_2_K1_B4_C0_N4_H1_S3,K1_B4_C0_N4_H1_S3,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H1,3,2,pending,,,,,,2026-03-22T15:03:51.931282Z
P9_2_K1_B4_C0_N4_H1_S4,K1_B4_C0_N4_H1_S4,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H1,4,3,pending,,,,,,2026-03-22T15:03:51.931291Z
P9_2_K1_B4_C0_N4_H2_S1,K1_B4_C0_N4_H2_S1,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H2,1,4,pending,,,,,,2026-03-22T15:03:51.931300Z
P9_2_K1_B4_C0_N4_H2_S2,K1_B4_C0_N4_H2_S2,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H2,2,5,pending,,,,,,2026-03-22T15:03:51.931310Z
P9_2_K1_B4_C0_N4_H2_S3,K1_B4_C0_N4_H2_S3,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H2,3,6,pending,,,,,,2026-03-22T15:03:51.931318Z
P9_2_K1_B4_C0_N4_H2_S4,K1_B4_C0_N4_H2_S4,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H2,4,7,pending,,,,,,2026-03-22T15:03:51.931328Z
P9_2_K1_B4_C0_N4_H3_S1,K1_B4_C0_N4_H3_S1,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H3,1,0,pending,,,,,,2026-03-22T15:03:51.931336Z
P9_2_K1_B4_C0_N4_H3_S2,K1_B4_C0_N4_H3_S2,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H3,2,1,pending,,,,,,2026-03-22T15:03:51.931345Z
P9_2_K1_B4_C0_N4_H3_S3,K1_B4_C0_N4_H3_S3,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H3,3,2,pending,,,,,,2026-03-22T15:03:51.931354Z
P9_2_K1_B4_C0_N4_H3_S4,K1_B4_C0_N4_H3_S4,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H3,4,3,pending,,,,,,2026-03-22T15:03:51.931363Z
P9_2_K1_B4_C0_N4_H4_S1,K1_B4_C0_N4_H4_S1,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H4,1,4,pending,,,,,,2026-03-22T15:03:51.931372Z
P9_2_K1_B4_C0_N4_H4_S2,K1_B4_C0_N4_H4_S2,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H4,2,5,pending,,,,,,2026-03-22T15:03:51.931381Z
P9_2_K1_B4_C0_N4_H4_S3,K1_B4_C0_N4_H4_S3,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H4,3,6,pending,,,,,,2026-03-22T15:03:51.931389Z
P9_2_K1_B4_C0_N4_H4_S4,K1_B4_C0_N4_H4_S4,KuaiRecLargeStrictPosV2_0.2,K1,P9_B4_C0_N4_S1,B4,C0,N4,z,none,H4,4,7,pending,,,,,,2026-03-22T15:03:51.931398Z
P9_2_K2_B3_C1_B1_H1_S1,K2_B3_C1_B1_H1_S1,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H1,1,0,pending,,,,,,2026-03-22T15:03:51.931407Z
P9_2_K2_B3_C1_B1_H1_S2,K2_B3_C1_B1_H1_S2,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H1,2,1,pending,,,,,,2026-03-22T15:03:51.931416Z
P9_2_K2_B3_C1_B1_H1_S3,K2_B3_C1_B1_H1_S3,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H1,3,2,pending,,,,,,2026-03-22T15:03:51.931425Z
P9_2_K2_B3_C1_B1_H1_S4,K2_B3_C1_B1_H1_S4,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H1,4,3,pending,,,,,,2026-03-22T15:03:51.931434Z
P9_2_K2_B3_C1_B1_H2_S1,K2_B3_C1_B1_H2_S1,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H2,1,4,pending,,,,,,2026-03-22T15:03:51.931443Z
P9_2_K2_B3_C1_B1_H2_S2,K2_B3_C1_B1_H2_S2,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H2,2,5,pending,,,,,,2026-03-22T15:03:51.931452Z
P9_2_K2_B3_C1_B1_H2_S3,K2_B3_C1_B1_H2_S3,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H2,3,6,pending,,,,,,2026-03-22T15:03:51.931461Z
P9_2_K2_B3_C1_B1_H2_S4,K2_B3_C1_B1_H2_S4,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H2,4,7,pending,,,,,,2026-03-22T15:03:51.931469Z
P9_2_K2_B3_C1_B1_H3_S1,K2_B3_C1_B1_H3_S1,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H3,1,0,pending,,,,,,2026-03-22T15:03:51.931478Z
P9_2_K2_B3_C1_B1_H3_S2,K2_B3_C1_B1_H3_S2,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H3,2,1,pending,,,,,,2026-03-22T15:03:51.931487Z
P9_2_K2_B3_C1_B1_H3_S3,K2_B3_C1_B1_H3_S3,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H3,3,2,pending,,,,,,2026-03-22T15:03:51.931496Z
P9_2_K2_B3_C1_B1_H3_S4,K2_B3_C1_B1_H3_S4,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H3,4,3,pending,,,,,,2026-03-22T15:03:51.931504Z
P9_2_K2_B3_C1_B1_H4_S1,K2_B3_C1_B1_H4_S1,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H4,1,4,pending,,,,,,2026-03-22T15:03:51.931513Z
P9_2_K2_B3_C1_B1_H4_S2,K2_B3_C1_B1_H4_S2,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H4,2,5,pending,,,,,,2026-03-22T15:03:51.931522Z
P9_2_K2_B3_C1_B1_H4_S3,K2_B3_C1_B1_H4_S3,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H4,3,6,pending,,,,,,2026-03-22T15:03:51.931531Z
P9_2_K2_B3_C1_B1_H4_S4,K2_B3_C1_B1_H4_S4,KuaiRecLargeStrictPosV2_0.2,K2,P9_B3_C1_B1_S1,B3,C1,B1,balance,z,H4,4,7,pending,,,,,,2026-03-22T15:03:51.931539Z
P9_2_K3_B1_C2_S3_H1_S1,K3_B1_C2_S3_H1_S1,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H1,1,0,pending,,,,,,2026-03-22T15:03:51.931548Z
P9_2_K3_B1_C2_S3_H1_S2,K3_B1_C2_S3_H1_S2,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H1,2,1,pending,,,,,,2026-03-22T15:03:51.931557Z
P9_2_K3_B1_C2_S3_H1_S3,K3_B1_C2_S3_H1_S3,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H1,3,2,pending,,,,,,2026-03-22T15:03:51.931567Z
P9_2_K3_B1_C2_S3_H1_S4,K3_B1_C2_S3_H1_S4,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H1,4,3,pending,,,,,,2026-03-22T15:03:51.931576Z
P9_2_K3_B1_C2_S3_H2_S1,K3_B1_C2_S3_H2_S1,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H2,1,4,pending,,,,,,2026-03-22T15:03:51.931585Z
P9_2_K3_B1_C2_S3_H2_S2,K3_B1_C2_S3_H2_S2,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H2,2,5,pending,,,,,,2026-03-22T15:03:51.931594Z
P9_2_K3_B1_C2_S3_H2_S3,K3_B1_C2_S3_H2_S3,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H2,3,6,pending,,,,,,2026-03-22T15:03:51.931604Z
P9_2_K3_B1_C2_S3_H2_S4,K3_B1_C2_S3_H2_S4,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H2,4,7,pending,,,,,,2026-03-22T15:03:51.931613Z
P9_2_K3_B1_C2_S3_H3_S1,K3_B1_C2_S3_H3_S1,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H3,1,0,pending,,,,,,2026-03-22T15:03:51.931622Z
P9_2_K3_B1_C2_S3_H3_S2,K3_B1_C2_S3_H3_S2,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H3,2,1,pending,,,,,,2026-03-22T15:03:51.931631Z
P9_2_K3_B1_C2_S3_H3_S3,K3_B1_C2_S3_H3_S3,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H3,3,2,pending,,,,,,2026-03-22T15:03:51.931640Z
P9_2_K3_B1_C2_S3_H3_S4,K3_B1_C2_S3_H3_S4,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H3,4,3,pending,,,,,,2026-03-22T15:03:51.931649Z
P9_2_K3_B1_C2_S3_H4_S1,K3_B1_C2_S3_H4_S1,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H4,1,4,pending,,,,,,2026-03-22T15:03:51.931658Z
P9_2_K3_B1_C2_S3_H4_S2,K3_B1_C2_S3_H4_S2,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H4,2,5,pending,,,,,,2026-03-22T15:03:51.931667Z
P9_2_K3_B1_C2_S3_H4_S3,K3_B1_C2_S3_H4_S3,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H4,3,6,pending,,,,,,2026-03-22T15:03:51.931677Z
P9_2_K3_B1_C2_S3_H4_S4,K3_B1_C2_S3_H4_S4,KuaiRecLargeStrictPosV2_0.2,K3,P9_B1_C2_S3_S1,B1,C2,S3,route_sharpness,route_monopoly,H4,4,7,pending,,,,,,2026-03-22T15:03:51.931690Z
P9_2_K4_B2_C3_F2_H1_S1,K4_B2_C3_F2_H1_S1,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H1,1,0,pending,,,,,,2026-03-22T15:03:51.931709Z
P9_2_K4_B2_C3_F2_H1_S2,K4_B2_C3_F2_H1_S2,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H1,2,1,pending,,,,,,2026-03-22T15:03:51.931731Z
P9_2_K4_B2_C3_F2_H1_S3,K4_B2_C3_F2_H1_S3,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H1,3,2,pending,,,,,,2026-03-22T15:03:51.931785Z
P9_2_K4_B2_C3_F2_H1_S4,K4_B2_C3_F2_H1_S4,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H1,4,3,pending,,,,,,2026-03-22T15:03:51.931797Z
P9_2_K4_B2_C3_F2_H2_S1,K4_B2_C3_F2_H2_S1,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H2,1,4,pending,,,,,,2026-03-22T15:03:51.931806Z
P9_2_K4_B2_C3_F2_H2_S2,K4_B2_C3_F2_H2_S2,KuaiRecLargeStrictPosV2_0.2,K4,P9_B2_C3_F2_S1,B2,C3,F2,route_prior_strong,z,H2,2,5,pending,,,,,,2026-03-22T15:03:51.931814Z
