dataset,model_option,model_label,pair_id,combo_id,combo_rank,combo_kind,combo_theme,combo_source,source_axis,source_phase,selection_score,hparam_id,architecture_id,lr_lo,lr_hi,wd_lo,wd_hi,params_json
beauty,sasrec,SASRec,P001,C1,1,existing_primary,best_prior_balanced,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.07308801098388777,,,0.00022360679774997898,0.0013416407864998738,0.00018199999999999998,0.00044199999999999996,"{""dropout"": 0.19, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 14, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.00026}"
beauty,sasrec,SASRec,P001,C2,2,existing_secondary,best_prior_alternative,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,0.07066187792251864,,,0.00020124611797498108,0.0012074767078498864,0.00016099999999999998,0.000391,"{""dropout"": 0.15, ""embedding_size"": 192, ""hidden_size"": 192, ""inner_size"": 384, ""max_len"": 16, ""num_heads"": 4, ""num_layers"": 4, ""weight_decay"": 0.00023}"
beauty,sasrec,SASRec,P001,C3,3,full_history_adapted,longer_context_stabilized,adapted_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.07308801098388777,,,0.00015395328025086054,0.0010323925852116528,0.0002184,0.000728,"{""dropout"": 0.21, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 20, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.000364}"
beauty,sasrec,SASRec,P001,C4,4,challenge,aggressive_full_history_variant,challenge_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7|PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_SASREC_K5,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_SASREC_K7,0.07308801098388777,,,0.0001448972049419864,0.0011410654889181429,0.000104,0.00065,"{""dropout"": 0.22, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 23, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.00026}"
beauty,tisasrec,TiSASRec,P002,C1,1,existing_primary,best_prior_balanced,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1,0.08948106286933898,,,0.00020846376869169102,0.0008755478285051024,0.000147,0.000357,"{""dropout"": 0.14, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 12, ""num_heads"": 4, ""num_layers"": 1, ""time_span"": 64, ""weight_decay"": 0.00021}"
beauty,tisasrec,TiSASRec,P002,C2,2,existing_secondary,best_prior_alternative,PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K3,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K3,0.08603878909346775,,,0.0001876173918225219,0.0007879930456545922,0.00013649999999999998,0.0003315,"{""dropout"": 0.13, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 14, ""num_heads"": 4, ""num_layers"": 1, ""time_span"": 64, ""weight_decay"": 0.000195}"
beauty,tisasrec,TiSASRec,P002,C3,3,full_history_adapted,longer_context_stabilized,adapted_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1,0.08948106286933898,,,0.00015947478304914362,0.0007485933933718625,0.00017639999999999998,0.000588,"{""dropout"": 0.16, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 18, ""num_heads"": 4, ""num_layers"": 1, ""time_span"": 64, ""weight_decay"": 0.000294}"
beauty,tisasrec,TiSASRec,P002,C4,4,challenge,aggressive_full_history_variant,challenge_from:PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1|PAIR60_ADDTUNING3:BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K3,PAIR60_ADDTUNING3,BASELINE2_ADDTUNE3_BEAUTY_TISASREC_K1,0.08948106286933898,,,0.00015009391345801755,0.0008273926979373218,8.400000000000001e-05,0.0005250000000000001,"{""dropout"": 0.17, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 23, ""num_heads"": 4, ""num_layers"": 1, ""time_span"": 128, ""weight_decay"": 0.00021}"
beauty,gru4rec,GRU4Rec,P003,C1,1,existing_primary,best_prior_balanced,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_GRU4REC_K11,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_GRU4REC_K11,0.05213644426005865,,,0.00032422985673746953,0.0019453791404248169,7e-07,1.6999999999999998e-06,"{""dropout"": 0.19, ""embedding_size"": 256, ""hidden_size"": 256, ""max_len"": 16, ""num_layers"": 3, ""weight_decay"": 1e-06}"
beauty,gru4rec,GRU4Rec,P003,C2,2,existing_secondary,best_prior_alternative,PAIR60_ADDTUNING3_2:BASELINE2_ADDTUNE3_2_BEAUTY_GRU4REC_K50,PAIR60_ADDTUNING3_2,BASELINE2_ADDTUNE3_2_BEAUTY_GRU4REC_K50,0.04631456180120561,,,0.0002918068710637226,0.0017508412263823351,8.19e-07,1.989e-06,"{""dropout"": 0.18, ""embedding_size"": 320, ""hidden_size"": 320, ""max_len"": 20, ""num_layers"": 4, ""weight_decay"": 1.17e-06}"
