dataset,model,model_label,pair_id,combo_id,combo_kind,best_valid_mrr20,seen_test_mrr20,test_mrr20,avg_epoch_time_sec,test_inference_time_sec,result_path
beauty,sasrec,SASRec,P001,C1,existing_primary,0.08668496111131098,0.055031156930592136,0.055031156930592136,0.5289055262842486,0.02454972267150879,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_SASRec_full_history_v4_c4_dbeauty_msasrec_p001_c1_s1_20260416_114944_103142_pid345113.json
beauty,tisasrec,TiSASRec,P002,C1,existing_primary,0.07711061645284235,0.049549888584624044,0.049549888584624044,0.34766954257164473,0.021622419357299805,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_TiSASRec_full_history_v4_c4_dbeauty_mtisasrec_p002_c1_s1_20260416_114944_024058_pid345112.json
beauty,gru4rec,GRU4Rec,P003,C1,existing_primary,0.03962499937828047,0.013467253834265351,0.013467253834265351,0.32679457780791493,0.019049882888793945,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_GRU4Rec_full_history_v4_c4_dbeauty_mgru4rec_p003_c1_s1_20260416_114944_008504_pid345111.json
beauty,duorec,DuoRec,P004,C1,existing_primary,0.08318014195316048,0.07475492505511445,0.07475492505511445,1.1155859649181366,0.020999431610107422,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_DuoRec_full_history_v4_c4_dbeauty_mduorec_p004_c1_s1_20260416_114944_035059_pid345114.json
beauty,fearec,FEARec,P005,C1,existing_primary,0.06480365652725639,0.057210774361062526,0.057210774361062526,1.6196165003559806,0.028936147689819336,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_FEARec_full_history_v4_c4_dbeauty_mfearec_p005_c1_s1_20260416_114943_948180_pid345115.json
beauty,bsarec,BSARec,P006,C1,existing_primary,0.01958150066525103,0.011033224267484806,0.011033224267484806,0.2612307146191597,0.026180744171142578,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_BSARec_full_history_v4_c4_dbeauty_mbsarec_p006_c1_s1_20260416_114943_976632_pid345116.json
beauty,fame,FAME,P007,C1,existing_primary,0.002859924572059907,0.0009209987918251223,0.0009209987918251223,0.18794447022515373,0.020236492156982422,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_FAME_full_history_v4_c4_dbeauty_mfame_p007_c1_s1_20260416_114943_808633_pid345117.json
beauty,difsr,DIFSR,P008,C1,existing_primary,0.0024765729754564754,0.0,0.0,0.26598862445715704,0.020206212997436523,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_DIFSR_full_history_v4_c4_dbeauty_mdifsr_p008_c1_s1_20260416_114943_901873_pid345118.json
beauty,fdsa,FDSA,P009,C1,existing_primary,0.0946550669455265,0.08197749676156181,0.08197749676156181,1.0513119576341015,0.024834156036376953,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_FDSA_full_history_v4_c4_dbeauty_mfdsa_p009_c1_s1_20260416_115024_289111_pid345693.json
beauty,featured_moe_n3,FeaturedMoE_N3,P010,C1,existing_primary,0.08357391861757361,0.05065404714477438,0.05065404714477438,0.8245469686832834,0.03689265251159668,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/beauty_FeaturedMoE_N3_full_history_v4_c4_dbeauty_mfeatured_moe_n3_p010_c1_s1_20260416_115105_095150_pid345877.json
KuaiRecLargeStrictPosV2_0.2,sasrec,SASRec,P011,C1,existing_primary,0.019263031966941922,0.29061591184686575,0.29061591184686575,6.23571996977835,0.07158708572387695,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_SASRec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_msasrec_p011_c1_s1_20260416_115111_769439_pid346036.json
KuaiRecLargeStrictPosV2_0.2,tisasrec,TiSASRec,P012,C1,existing_primary,0.019049155929236304,0.2437204577921486,0.2437204577921486,5.991570554930588,0.07436060905456543,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_TiSASRec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mtisasrec_p012_c1_s1_20260416_115207_416395_pid346480.json
KuaiRecLargeStrictPosV2_0.2,gru4rec,GRU4Rec,P013,C1,existing_primary,0.017445766580527187,0.05304023055703883,0.05304023055703883,4.632521507067558,0.07958173751831055,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_GRU4Rec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mgru4rec_p013_c1_s1_20260416_115301_171940_pid346778.json
KuaiRecLargeStrictPosV2_0.2,duorec,DuoRec,P014,C1,existing_primary,0.01905987968625287,0.29522483841769503,0.29522483841769503,5.413958351952689,0.059659719467163086,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_DuoRec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mduorec_p014_c1_s1_20260416_115419_622707_pid347285.json
KuaiRecLargeStrictPosV2_0.2,fearec,FEARec,P015,C1,existing_primary,0.018455464337846915,0.30530190018129777,0.30530190018129777,9.738213798274165,0.13193202018737793,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_FEARec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mfearec_p015_c1_s1_20260416_120118_061541_pid349370.json
KuaiRecLargeStrictPosV2_0.2,bsarec,BSARec,P016,C1,existing_primary,0.01946610709643129,0.1616140039635599,0.1616140039635599,9.385640642378066,0.11088109016418457,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_BSARec_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mbsarec_p016_c1_s1_20260416_120301_501395_pid349976.json
KuaiRecLargeStrictPosV2_0.2,fame,FAME,P017,C1,existing_primary,0.019219172177621025,0.1519918881590329,0.1519918881590329,4.1072383139814646,0.0997314453125,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_FAME_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mfame_p017_c1_s1_20260416_120518_807778_pid350862.json
KuaiRecLargeStrictPosV2_0.2,difsr,DIFSR,P018,C1,existing_primary,0.014621279131467255,0.31783411209236867,0.31783411209236867,6.260010809511752,0.07227349281311035,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_DIFSR_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mdifsr_p018_c1_s1_20260416_121208_246402_pid352436.json
KuaiRecLargeStrictPosV2_0.2,fdsa,FDSA,P019,C1,existing_primary,0.02012575725774595,0.26472102480232385,0.26472102480232385,4.3600571338947,0.08146834373474121,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_FDSA_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mfdsa_p019_c1_s1_20260416_121725_985393_pid354389.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,FeaturedMoE_N3,P020,C1,existing_primary,0.018171362866841286,0.26865423658877313,0.26865423658877313,7.394454737504323,0.11395692825317383,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_full_history_v4_c4_dkuaireclargestrictposv2_0_2_mfeatured_moe_n3_p020_c1_s1_20260416_121949_220176_pid354902.json
foursquare,sasrec,SASRec,P021,C1,existing_primary,0.2333042243146468,0.20132015091772798,0.20132015091772798,3.864954410529718,0.11893773078918457,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_SASRec_full_history_v4_c4_dfoursquare_msasrec_p021_c1_s1_20260416_122003_787369_pid354928.json
foursquare,tisasrec,TiSASRec,P022,C1,existing_primary,0.25905043687539026,0.2264513422956141,0.2264513422956141,6.7422408029144885,0.15927457809448242,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_TiSASRec_full_history_v4_c4_dfoursquare_mtisasrec_p022_c1_s1_20260416_122034_444774_pid355196.json
foursquare,gru4rec,GRU4Rec,P023,C1,existing_primary,0.18109352697973344,0.13621567320569958,0.13621567320569958,3.6991970211851832,0.17792797088623047,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_GRU4Rec_full_history_v4_c4_dfoursquare_mgru4rec_p023_c1_s1_20260416_122636_500052_pid356657.json
foursquare,duorec,DuoRec,P024,C1,existing_primary,0.20840197292620263,0.18054348136112988,0.18054348136112988,4.285681879520416,0.09174203872680664,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_DuoRec_full_history_v4_c4_dfoursquare_mduorec_p024_c1_s1_20260416_124022_530568_pid360151.json
foursquare,fearec,FEARec,P025,C1,existing_primary,0.19249550320049194,0.1621591097442247,0.1621591097442247,4.783843631744385,0.12401556968688965,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_FEARec_full_history_v4_c4_dfoursquare_mfearec_p025_c1_s1_20260416_124107_949311_pid360308.json
foursquare,bsarec,BSARec,P026,C1,existing_primary,0.2111977389088584,0.18083368912845446,0.18083368912845446,3.12728944846562,0.12188076972961426,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_BSARec_full_history_v4_c4_dfoursquare_mbsarec_p026_c1_s1_20260416_124537_003784_pid361417.json
foursquare,fame,FAME,P027,C1,existing_primary,0.2017370030211457,0.18455228390251036,0.18455228390251036,1.8644999909400939,0.10796070098876953,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_FAME_full_history_v4_c4_dfoursquare_mfame_p027_c1_s1_20260416_124605_572429_pid361517.json
foursquare,difsr,DIFSR,P028,C1,existing_primary,0.2430392736941855,0.22171293510694345,0.22171293510694345,3.8219653487205507,0.13648438453674316,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_DIFSR_full_history_v4_c4_dfoursquare_mdifsr_p028_c1_s1_20260416_130211_282580_pid363329.json
foursquare,fdsa,FDSA,P029,C1,existing_primary,0.24990094400415516,0.21710986208221275,0.21710986208221275,5.057792549133301,0.15225958824157715,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_3/foursquare_FDSA_full_history_v4_c4_dfoursquare_mfdsa_p029_c1_s1_20260416_130451_608818_pid363463.json
