run_phase,combo,anchor,mode,expert_top_k,dims,layout,merge,group_mode,best_mrr20,best_lr,best_wd,epochs_run,early_stopped,n_completed,max_evals,track_note
R1DHGRv3_topk8_C00_A0_weak_k1,C00,A0,weak,1,128/16/160/64,15,serial,stage_wide,0.091900,2.55e-03,1.00e-06,25,no,8,8,L15 serial stage_wide
R1DHGRv3_topk8_C04_A1_weak_k1,C04,A1,weak,1,160/16/256/112,15,serial,stage_wide,0.091900,5.72e-04,1.00e-06,25,no,6,8,L15 serial stage_wide
