dataset,model,combo_id,combo_kind,priority,run_phase,gpu_id,status,best_valid_mrr20,test_mrr20,valid_unseen_mrr20,test_unseen_mrr20,test_main_seen_count,test_main_unseen_count,est_runtime_sec,elapsed_sec,max_evals,epochs,patience,seed,result_path,log_path,space_yaml,error,timestamp_utc,base_params_json
beauty,difsr,K4,hist_speed,critical,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K4,3,ok,0.0035,0.0003,0.0,0.0007560483870967742,349,248,30.2,52.251,8,100,7,20260460,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune_beauty_difsr_k4_20260416_012651_433495_pid1229815.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_DIFSR_K4.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K4.yaml,,2026-04-16T01:27:41.707564+00:00,"{""attribute_hidden_size"": 112, ""dropout"": 0.23, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.03, ""max_len"": 55, ""n_heads"": 4, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
beauty,difsr,K3,hist_explore,critical,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K3,2,ok,0.0072,0.0053,0.0,0.0004480286771731992,349,248,30.2,53.608,8,100,7,20260459,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune_beauty_difsr_k3_20260416_012651_457799_pid1229811.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_DIFSR_K3.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K3.yaml,,2026-04-16T01:27:43.072698+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.18, ""embedding_size"": 160, ""fusion_type"": ""concat"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.18, ""max_len"": 25, ""num_heads"": 4, ""num_layers"": 2, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
beauty,fame,K1,hist_best,critical,BASELINE2_ADDTUNE_BEAUTY_FAME_K1,4,ok,0.0116,0.0068,0.00040799673906592433,0.0,349,248,62.4,62.662,8,100,7,20260437,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FAME_baseline2_addtune_beauty_fame_k1_20260416_012651_414708_pid1229812.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_FAME_K1.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K1.yaml,,2026-04-16T01:27:52.067634+00:00,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
beauty,fame,K3,hist_explore,critical,BASELINE2_ADDTUNE_BEAUTY_FAME_K3,6,ok,0.0363,0.0002,0.00048449612403100775,0.0,349,248,62.4,67.335,8,100,7,20260439,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FAME_baseline2_addtune_beauty_fame_k3_20260416_012651_414602_pid1229816.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_FAME_K3.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K3.yaml,,2026-04-16T01:27:56.773359+00:00,"{""dropout"": 0.18, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 23, ""num_experts"": 4, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0002}"
beauty,difsr,K2,hist_alt,critical,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K2,1,ok,0.0025,0.0,0.004392764942590581,0.0009426058179909183,349,248,30.2,68.82,8,100,7,20260458,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune_beauty_difsr_k2_20260416_012651_256770_pid1229814.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_DIFSR_K2.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K2.yaml,,2026-04-16T01:27:58.215026+00:00,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}"
beauty,difsr,K1,hist_best,critical,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K1,0,ok,0.0131,0.0082,0.0,0.0,349,248,30.2,83.656,8,100,7,20260457,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_DIFSR_baseline2_addtune_beauty_difsr_k1_20260416_012651_276502_pid1229807.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_DIFSR_K1.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K1.yaml,,2026-04-16T01:28:13.083637+00:00,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}"
beauty,bsarec,K3,hist_explore,critical,BASELINE2_ADDTUNE_BEAUTY_BSAREC_K3,4,ok,0.0072,0.0007,0.008859357746072518,0.00025201612903225806,349,248,74.4,48.399,8,100,7,20260419,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_BSARec_baseline2_addtune_beauty_bsarec_k3_20260416_012755_375807_pid1230161.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_BSAREC_K3.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_bsarec_K3.yaml,,2026-04-16T01:28:41.855918+00:00,"{""dropout"": 0.18, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 25, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}"
beauty,fame,K4,hist_speed,critical,BASELINE2_ADDTUNE_BEAUTY_FAME_K4,7,ok,0.0097,0.0065,0.0010522992978262346,0.000702590441271182,349,248,62.4,120.277,8,100,7,20260440,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_FAME_baseline2_addtune_beauty_fame_k4_20260416_012651_470910_pid1229818.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_FAME_K4.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K4.yaml,,2026-04-16T01:28:49.694698+00:00,"{""dropout"": 0.08, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 25, ""n_heads"": 4, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}"
beauty,bsarec,K4,hist_speed,critical,BASELINE2_ADDTUNE_BEAUTY_BSAREC_K4,6,ok,0.0046,0.0002,0.0025839794051739596,0.001632104507617412,349,248,74.4,52.914,8,100,7,20260420,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_BSARec_baseline2_addtune_beauty_bsarec_k4_20260416_012800_124110_pid1230192.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_BSAREC_K4.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_bsarec_K4.yaml,,2026-04-16T01:28:52.994797+00:00,"{""dropout"": 0.23, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 55, ""n_heads"": 4, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
beauty,bsarec,K2,hist_alt,critical,BASELINE2_ADDTUNE_BEAUTY_BSAREC_K2,2,ok,0.0067,0.0032,0.0,0.0,349,248,74.4,67.046,8,100,7,20260418,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/beauty_BSARec_baseline2_addtune_beauty_bsarec_k2_20260416_012746_575579_pid1230093.json,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/session_logs/BASELINE2_ADDTUNE_BEAUTY_BSAREC_K2.log,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_bsarec_K2.yaml,,2026-04-16T01:28:53.413404+00:00,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}"
