dataset,model,combo_id,combo_kind,priority,est_runtime_sec,runtime_class,max_evals,epochs,patience,seed,run_phase,space_yaml,base_params_json,search_json
beauty,difsr,K1,hist_best,critical,30.2,very_fast,8,100,7,20260457,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K1.yaml,"{""attribute_hidden_size"": 160, ""dropout"": 0.15, ""embedding_size"": 160, ""fusion_type"": ""gate"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.15, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}","{""MAX_ITEM_LIST_LENGTH"": [20, 30, 40], ""attribute_hidden_size"": [128, 160, 192], ""dropout_ratio"": [0.1125, 0.15, 0.1875], ""fusion_type"": [""gate"", ""sum""], ""lambda_attr"": [0.09, 0.15, 0.21], ""learning_rate"": [0.00020063, 0.00029183, 0.00036478, 0.00045598, 0.00065661], ""num_heads"": [2, 4, 8], ""num_layers"": [2, 3, 4], ""weight_decay"": [0.0, 0.0001, 0.0002, 0.0004]}"
beauty,difsr,K2,hist_alt,critical,30.2,very_fast,8,100,7,20260458,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K2.yaml,"{""attribute_hidden_size"": 112, ""dropout"": 0.25, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.0, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}","{""MAX_ITEM_LIST_LENGTH"": [40, 50, 60], ""attribute_hidden_size"": [80, 112, 144], ""dropout_ratio"": [0.1875, 0.25, 0.3125], ""fusion_type"": [""concat"", ""gate"", ""sum""], ""lambda_attr"": [0.0], ""learning_rate"": [0.00018057, 0.00026264, 0.0003283, 0.00041038, 0.00059095], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2], ""weight_decay"": [0.0, 0.00025, 0.0005, 0.001]}"
beauty,difsr,K3,hist_explore,critical,30.2,very_fast,8,100,7,20260459,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K3.yaml,"{""attribute_hidden_size"": 160, ""dropout"": 0.18, ""embedding_size"": 160, ""fusion_type"": ""concat"", ""hidden_size"": 160, ""inner_size"": 320, ""lambda_attr"": 0.18, ""max_len"": 25, ""num_heads"": 4, ""num_layers"": 2, ""use_attribute_predictor"": true, ""weight_decay"": 0.0002}","{""MAX_ITEM_LIST_LENGTH"": [15, 25, 35], ""attribute_hidden_size"": [128, 160, 192], ""dropout_ratio"": [0.135, 0.18, 0.225], ""fusion_type"": [""concat"", ""gate"", ""sum""], ""lambda_attr"": [0.108, 0.18, 0.252], ""learning_rate"": [0.00020063, 0.00029183, 0.00036478, 0.00045598, 0.00065661], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2, 3], ""weight_decay"": [0.0, 0.0001, 0.0002, 0.0004]}"
beauty,difsr,K4,hist_speed,critical,30.2,very_fast,8,100,7,20260460,BASELINE2_ADDTUNE_BEAUTY_DIFSR_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_difsr_K4.yaml,"{""attribute_hidden_size"": 112, ""dropout"": 0.23, ""embedding_size"": 112, ""fusion_type"": ""concat"", ""hidden_size"": 112, ""inner_size"": 224, ""lambda_attr"": 0.03, ""max_len"": 55, ""n_heads"": 4, ""num_heads"": 4, ""num_layers"": 1, ""use_attribute_predictor"": false, ""weight_decay"": 0.0005}","{""MAX_ITEM_LIST_LENGTH"": [45, 55, 65], ""attribute_hidden_size"": [80, 112, 144], ""dropout_ratio"": [0.1725, 0.23, 0.2875], ""fusion_type"": [""concat"", ""gate"", ""sum""], ""lambda_attr"": [0.018, 0.03, 0.042], ""learning_rate"": [0.00018057, 0.00026264, 0.0003283, 0.00041038, 0.00059095], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2], ""weight_decay"": [0.0, 0.00025, 0.0005, 0.001]}"
beauty,fame,K1,hist_best,critical,62.4,very_fast,8,100,7,20260437,BASELINE2_ADDTUNE_BEAUTY_FAME_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K1.yaml,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 28, ""num_experts"": 3, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0002}","{""MAX_ITEM_LIST_LENGTH"": [18, 28, 38], ""dropout_ratio"": [0.1125, 0.15, 0.1875], ""learning_rate"": [0.0001681, 0.0002445, 0.00030563, 0.00038204, 0.00055013], ""num_experts"": [2, 3, 4], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2, 3], ""weight_decay"": [0.0, 0.0001, 0.0002, 0.0004]}"
beauty,fame,K2,hist_alt,critical,62.4,very_fast,8,100,7,20260438,BASELINE2_ADDTUNE_BEAUTY_FAME_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K2.yaml,"{""dropout"": 0.1, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 20, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}","{""MAX_ITEM_LIST_LENGTH"": [10, 20, 30], ""dropout_ratio"": [0.075, 0.1, 0.125], ""learning_rate"": [0.00018677, 0.00027167, 0.00033959, 0.00042448, 0.00061126], ""num_experts"": [2, 3], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2, 3], ""weight_decay"": [0.0, 5e-05, 0.0001, 0.0002]}"
beauty,fame,K3,hist_explore,critical,62.4,very_fast,8,100,7,20260439,BASELINE2_ADDTUNE_BEAUTY_FAME_K3,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K3.yaml,"{""dropout"": 0.18, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 23, ""num_experts"": 4, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0002}","{""MAX_ITEM_LIST_LENGTH"": [13, 23, 33], ""dropout_ratio"": [0.135, 0.18, 0.225], ""learning_rate"": [0.0001681, 0.0002445, 0.00030563, 0.00038204, 0.00055013], ""num_experts"": [3, 4, 5], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2], ""weight_decay"": [0.0, 0.0001, 0.0002, 0.0004]}"
beauty,fame,K4,hist_speed,critical,62.4,very_fast,8,100,7,20260440,BASELINE2_ADDTUNE_BEAUTY_FAME_K4,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_fame_K4.yaml,"{""dropout"": 0.08, ""embedding_size"": 128, ""hidden_size"": 128, ""inner_size"": 256, ""max_len"": 25, ""n_heads"": 4, ""num_experts"": 2, ""num_heads"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}","{""MAX_ITEM_LIST_LENGTH"": [15, 25, 35], ""dropout_ratio"": [0.06, 0.08, 0.1], ""learning_rate"": [0.00018677, 0.00027167, 0.00033959, 0.00042448, 0.00061126], ""num_experts"": [2, 3], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2, 3], ""weight_decay"": [0.0, 5e-05, 0.0001, 0.0002]}"
beauty,bsarec,K1,hist_best,critical,74.4,very_fast,8,100,7,20260417,BASELINE2_ADDTUNE_BEAUTY_BSAREC_K1,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_bsarec_K1.yaml,"{""dropout"": 0.15, ""embedding_size"": 160, ""hidden_size"": 160, ""inner_size"": 320, ""max_len"": 30, ""num_heads"": 4, ""num_layers"": 3, ""weight_decay"": 0.0002}","{""MAX_ITEM_LIST_LENGTH"": [20, 30, 40], ""bsarec_alpha"": [0.3, 0.5, 0.7], ""bsarec_c"": [2, 3, 4], ""dropout_ratio"": [0.1125, 0.15, 0.1875], ""learning_rate"": [0.00028619, 0.00041627, 0.00052034, 0.00065042, 0.00093661], ""num_heads"": [2, 4, 8], ""num_layers"": [2, 3, 4], ""weight_decay"": [0.0, 0.0001, 0.0002, 0.0004]}"
beauty,bsarec,K2,hist_alt,critical,74.4,very_fast,8,100,7,20260418,BASELINE2_ADDTUNE_BEAUTY_BSAREC_K2,/workspace/FeaturedMoE/experiments/run/artifacts/logs/baseline_2/PAIR60_ADDTUNING/spaces/beauty_bsarec_K2.yaml,"{""dropout"": 0.25, ""embedding_size"": 112, ""hidden_size"": 112, ""inner_size"": 224, ""max_len"": 50, ""num_heads"": 4, ""num_layers"": 1, ""weight_decay"": 0.0005}","{""MAX_ITEM_LIST_LENGTH"": [40, 50, 60], ""bsarec_alpha"": [0.3, 0.5, 0.7], ""bsarec_c"": [2, 3, 4], ""dropout_ratio"": [0.1875, 0.25, 0.3125], ""learning_rate"": [0.00020863, 0.00030346, 0.00037933, 0.00047416, 0.00068279], ""num_heads"": [2, 4, 8], ""num_layers"": [1, 2], ""weight_decay"": [0.0, 0.00025, 0.0005, 0.001]}"
