stage,model,best_candidate_id,best_valid_mrr20,best_test_mrr20,cum_best_valid_mrr20,cum_best_test_mrr20,last_update_utc
A,gru4rec,A006_L04,0.2655,0.2561,0.2655,0.2561,2026-04-14T12:50:27.786227+00:00
A,gru4rec,A006_L04,0.2655,0.2561,0.2655,0.2561,2026-04-14T13:36:55.348200+00:00
A,sasrec,A017_L02,0.3063,0.3041,0.3063,0.3041,2026-04-14T12:50:27.786634+00:00
A,sasrec,A017_L02,0.3063,0.3041,0.3063,0.3041,2026-04-14T13:36:55.348599+00:00
A,tisasrec,A017_L03,0.3031,0.2973,0.3031,0.2973,2026-04-14T12:50:27.787375+00:00
A,tisasrec,A017_L03,0.3031,0.2973,0.3031,0.2973,2026-04-14T13:36:55.348987+00:00
