dataset,model,base_rank,base_tag,split,metric,value,result_json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,hit@5,0.0246,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,hit@10,0.0364,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,hit@20,0.0561,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,ndcg@5,0.0187,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,ndcg@10,0.0225,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,ndcg@20,0.0275,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,mrr@5,0.0168,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,mrr@10,0.0183,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,valid,mrr@20,0.0197,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,hit@5,0.3505,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,hit@10,0.3718,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,hit@20,0.3953,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
KuaiRecLargeStrictPosV2_0.2,featured_moe_n3,1,kuaireclargestrictposv2_0_2_top01_rfmoe,test,ndcg@5,0.3409,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FMoEN3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_s2_kuaireclargestrictposv2_0_2_featured_moe_n3_r13_20260418_114025_729906_pid130220.json
