family,dataset_target,model,candidate_rank,score_mean9,test_mrr20,test_hr10,test_ndcg10,valid_mrr20,epochs_run,source_file,learning_rate,weight_decay,MAX_ITEM_LIST_LENGTH,hidden_size,embedding_size,inner_size,num_layers,num_heads,hidden_dropout_prob,attn_dropout_prob,dropout_prob,attribute_hidden_size,bsarec_alpha,bsarec_c,contrast,conv_kernel,d_expert_hidden,d_feat_emb,d_ff,d_router_hidden,dropout,dropout_ratio,eval_batch_size,expert_scale,fame_moe_last_k_layers,fixed_hidden_dropout_prob,fmoe_v2_parallel_stage_gate_temperature,fmoe_v2_parallel_stage_gate_top_k,fusion_type,global_ratio,group_top_k,lambda_attr,lmd,lmd_sem,moe_top_k,n_heads,n_layers,num_experts,pooling_mode,remaining_ratio,route_consistency_lambda,router_feature_proj_dim,router_feature_proj_layers,router_feature_scale,router_group_feature_scale,router_hidden_scale,router_impl,router_use_feature,router_use_hidden,selected_features,semantic_sample_max_tries,stage_feature_dropout_prob,state_size,tau,time_span,train_batch_size,use_attribute_predictor,z_loss_lambda
baseline,KuaiRec,duorec,4,0.329678,0.3185,0.3483,0.3248,0.0175,16,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_DuoRec_s1_kuaireclargestrictposv2_0_2_duorec_20260418_022623_967265_pid544116.json,0.00086844,5e-05,20.0,128.0,112.0,224.0,,,0.12,0.15,,,,,,,,,,,,0.1,,,,,,,,,,,0.05,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,0.2,,,,
baseline,KuaiRec,duorec,5,0.329333,0.3156,0.3527,0.3232,0.0173,23,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/normal/stage3_seed_confirm/S3/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_s3_kuaireclargestrictposv2_0_2_duorec_c1_seed2_20260418_130821_170188_pid633070.json,0.00061408,1e-05,20.0,128.0,96.0,224.0,,,0.1,0.15,,,,,,,,,,,,0.1,,,,,,,,,,,0.06,0.0,,1.0,2.0,,,,,,,,,,,,,,,,,0.16,,,,
baseline,KuaiRec,duorec,6,0.326567,0.3149,0.3404,0.3195,0.0179,12,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_s1_kuaireclargestrictposv2_0_2_duorec_20260418_022623_967265_pid544116.json,0.00122816,5e-05,20.0,128.0,112.0,224.0,,,0.12,0.15,,,,,,,,,,,,0.1,,,,,,,,,,,0.05,0.0,,4.0,2.0,,,,,,,,,,,,,,,,,0.2,,,,
baseline,KuaiRec,duorec,7,0.326544,0.3155,0.3415,0.3203,0.0189,24,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json,0.000922037718928738,0.0001,20.0,112.0,112.0,224.0,1.0,2.0,0.1,0.1,,,,,un,,,,,,,0.1,,,,,,,,,,,0.04,0.0,,2.0,1.0,,,,,,,,,,,,,,2.0,,,0.2,,,,
baseline,KuaiRec,duorec,8,0.3263,0.3144,0.3415,0.3197,0.0183,20,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json,0.001144648843902364,0.0001,20.0,112.0,112.0,224.0,1.0,2.0,0.1,0.1,,,,,un,,,,,,,0.1,,,,,,,,,,,0.04,0.0,,2.0,1.0,,,,,,,,,,,,,,2.0,,,0.2,,,,
baseline,KuaiRec,duorec,9,0.324833,0.3092,0.3471,0.3165,0.0173,12,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/normal/stage1_broad_search/S1/KuaiRecLargeStrictPosV2_0.2/DuoRec/KuaiRecLargeStrictPosV2_0.2_DuoRec_s1_kuaireclargestrictposv2_0_2_duorec_20260418_022623_967265_pid544116.json,0.00122816,0.0001,10.0,128.0,112.0,224.0,,,0.15,0.15,,,,,,,,,,,,0.1,,,,,,,,,,,0.05,0.0,,4.0,3.0,,,,,,,,,,,,,,,,,0.18,,,,
baseline,KuaiRec,duorec,10,0.323767,0.3111,0.3348,0.3152,0.0183,28,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DuoRec_pair60_v4_dkuaireclargestrictposv2_0_2_mduorec_p024_c2_s1_20260415_065400_808514_pid1158947.json,0.0005294443563788143,0.0001,20.0,112.0,112.0,224.0,1.0,2.0,0.1,0.1,,,,,un,,,,,,,0.1,,,,,,,,,,,0.04,0.0,,2.0,1.0,,,,,,,,,,,,,,2.0,,,0.2,,,,
baseline,KuaiRec,fame,1,0.3624,0.3521,0.3776,0.3575,0.0146,48,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/normal/cikm_main_baselines/P0/KuaiRec/FAME/KuaiRec_FAME_p0_20260508_185808_098610_pid683386.json,0.0004639999153470258,0.0,,,,,3.0,8.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,2,0.3587,0.3458,0.3783,0.3529,0.0152,79,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/KuaiRec_FAME_p0_20260509_033019_554135_pid701015.json,0.000485992958737855,0.0,,,,,3.0,8.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,3,0.342067,0.3262,0.366,0.3348,0.0134,29,/workspace/FeaturedMoE/experiments/run/artifacts/results/cikm/normal/cikm_main_baselines/P0/KuaiRec/FAME/KuaiRec_FAME_p0_20260508_185808_098610_pid683386.json,0.001395410880139689,0.0,,,,,3.0,8.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,4,0.334756,0.3337,0.3371,0.3343,0.014,8,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FAME/KuaiRecLargeStrictPosV2_0.2_FAME_s2_kuaireclargestrictposv2_0_2_fame_20260418_064814_012544_pid563106.json,0.0019794,0.0002,10.0,128.0,160.0,256.0,1.0,4.0,0.12,0.08,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,5,0.334011,0.3218,0.3539,0.3285,0.0155,26,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s1_kuaireclargestrictposv2_0_2_fame_20260417_170029_858567_pid524874.json,0.00157105,0.0002,20.0,192.0,160.0,256.0,2.0,1.0,0.05,0.05,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,6,0.333611,0.3317,0.3359,0.3323,0.012,9,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/normal/stage2_focus_search/S2/KuaiRecLargeStrictPosV2_0.2/FAME/KuaiRecLargeStrictPosV2_0.2_FAME_s2_kuaireclargestrictposv2_0_2_fame_20260418_064814_012544_pid563106.json,0.00069982,5e-05,20.0,160.0,160.0,256.0,3.0,8.0,0.1,0.05,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,7,0.3334,0.3321,0.3348,0.3326,0.0136,12,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s1_kuaireclargestrictposv2_0_2_fame_20260417_170029_858567_pid524874.json,0.00124694,0.00036242228902787286,20.0,128.0,192.0,256.0,1.0,1.0,0.12,0.1,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,8,0.332933,0.3324,0.3337,0.3327,0.013,13,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s1_kuaireclargestrictposv2_0_2_fame_20260417_170029_858567_pid524874.json,0.00157105,0.00036242228902787286,30.0,96.0,128.0,256.0,1.0,8.0,0.15,0.12,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,9,0.332767,0.3323,0.3326,0.3322,0.0122,13,/workspace/FeaturedMoE/experiments/run/artifacts/results/final_experiment/KuaiRecLargeStrictPosV2_0.2_FAME_s1_kuaireclargestrictposv2_0_2_fame_20260417_170029_858567_pid524874.json,0.00124694,0.0002,10.0,160.0,64.0,256.0,2.0,4.0,0.12,0.12,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fame,10,0.332367,0.3297,0.3382,0.3316,0.0115,13,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c1_s1_20260415_070622_722220_pid1160205.json,0.0004479765175808231,0.0002,28.0,160.0,160.0,320.0,2.0,4.0,0.15,0.15,,,,,,,,,,,,0.15,,,,,,,,,,,,,,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fdsa,1,0.329189,0.3182,0.3471,0.3239,0.0175,14,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/normal/pair60_addtuning/BASELINE2/KuaiRecLargeStrictPosV2_0.2/FDSA/KuaiRecLargeStrictPosV2_0.2_FDSA_baseline2_addtune_kuaireclargestrictposv2_0.2_fdsa_k4_20260416_014902_508350_pid1232853.json,0.0014046579476131211,0.0,35.0,,,,,,,,,128.0,,,,,,,,,,0.13,,,,,,,sum,,,0.18,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
baseline,KuaiRec,fdsa,2,0.327333,0.312,0.3516,0.3204,0.0173,14,/workspace/FeaturedMoE/experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_baseline2_addtune_kuaireclargestrictposv2_0.2_fdsa_k2_20260416_014519_401878_pid1232440.json,0.0011095262571218824,0.0,30.0,,,,,,,,,128.0,,,,,,,,,,0.15,,,,,,,sum,,,0.21,,,,8.0,3.0,,,,,,,,,,,,,,,,,,,,,
