avg_epoch_time_sec,early_stopped,epochs_run,mrr@20,status,test_hr@10,test_inference_time_sec,test_mrr@20,trial
6.386330228863341,True,33,0.0192,ok,0.3315,0.07248330116271973,0.2922,1
6.350329821760004,True,22,0.0184,ok,0.3359,0.07238006591796875,0.3007,2
6.277654062617909,True,22,0.0184,ok,0.3404,0.07174277305603027,0.3064,3
6.292410590431907,True,22,0.0183,ok,0.3427,0.07313871383666992,0.308,4
6.287605898720877,True,21,0.018,ok,0.3337,0.07176947593688965,0.2888,5
6.23571996977835,True,33,0.0193,ok,0.3292,0.07158708572387695,0.2906,6
6.218195356820759,True,38,0.0193,ok,0.3057,0.07323098182678223,0.2472,7
6.250652006694248,True,28,0.0184,ok,0.3516,0.0715780258178711,0.312,8
6.281218387863853,True,22,0.0188,ok,0.3561,0.07042431831359863,0.3185,9
6.169640960115375,True,33,0.0193,ok,0.3247,0.07227253913879395,0.2784,10
