best_valid_mrr20,dataset,expert,expert_global_share,family,family_expert_share_norm,family_expert_value,hparam_id,run_phase,seed_id,setting_group,setting_key,setting_short,setting_uid,source_axis,source_phase,split,stage_name,test_mrr20
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_a,0.08427169173955917,Tempo,0.09078837950841089,24631.904296875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_b,0.09481535851955414,Tempo,0.08237785634987958,22350.03515625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Tempo_c,0.07072146981954575,Tempo,0.06829381489998639,18528.876953125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_a,0.07814066112041473,Tempo,0.07966198726691381,21613.189453125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_b,0.08484990149736404,Tempo,0.08632638941955313,23421.31640625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Focus_c,0.074994295835495,Tempo,0.0762352546680226,20683.478515625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_a,0.07817169278860092,Tempo,0.0822691107244776,22320.53125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_b,0.07791981101036072,Tempo,0.07375929401297597,20011.72265625,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Memory_c,0.07159870862960815,Tempo,0.06824597143206493,18515.896484375,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_a,0.07456044852733612,Tempo,0.0763788930543357,20722.44921875,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
0.0806,KuaiRecLargeStrictPosV2_0.2,Exposure_b,0.0742526724934578,Tempo,0.07553222348629793,20492.73828125,H1,P10_13_2_AP10_00_H1_S1,1,group_subset,P10-00_FULL,FULL,P10_00,phase10_feature_portability_v1,P10,verification,macro@1,0.1613
