axis_group,axis_label_x,axis_label_y,best_valid_mrr20,expert,family,loading_pc1,loading_pc2,pc1,pc1_explained_var_ratio,pc2,pc2_explained_var_ratio,phase_tag,run_phase,setting_id,source,test_mrr20,weight_norm
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_a,Exposure,,,0.07064098908074774,,0.07456044852733612,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07064098908074774
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_b,Exposure,,,0.07899001687257366,,0.0742526724934578,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07899001687257366
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_c,Exposure,,,0.15731712249627877,,0.13570325076580048,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.15731712249627877
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_a,Exposure,,,0.08044190043547665,,0.07814066112041473,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.08044190043547665
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_b,Exposure,,,0.0874369794637494,,0.08484990149736404,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.0874369794637494
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_c,Exposure,,,0.07712619989552971,,0.074994295835495,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07712619989552971
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_a,Exposure,,,0.07041443155448182,,0.07817169278860092,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07041443155448182
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_b,Exposure,,,0.0731966042689859,,0.07791981101036072,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.0731966042689859
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_c,Exposure,,,0.06606654387117843,,0.07159870862960815,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.06606654387117843
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Tempo_a,Exposure,,,0.07985214608511995,,0.08427169173955917,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07985214608511995
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Tempo_b,Exposure,,,0.09134516505947207,,0.09481535851955414,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.09134516505947207
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Tempo_c,Exposure,,,0.06717190091640589,,0.07072146981954575,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.06717190091640589
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_a,Focus,,,0.07483588696763628,,0.07456044852733612,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07483588696763628
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_b,Focus,,,0.07431154073342527,,0.0742526724934578,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07431154073342527
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Exposure_c,Focus,,,0.13546713174725244,,0.13570325076580048,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.13546713174725244
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_a,Focus,,,0.07892398678964835,,0.07814066112041473,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07892398678964835
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_b,Focus,,,0.08513084473718881,,0.08484990149736404,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.08513084473718881
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Focus_c,Focus,,,0.07426770295918758,,0.074994295835495,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07426770295918758
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_a,Focus,,,0.07915957459840671,,0.07817169278860092,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07915957459840671
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_b,Focus,,,0.0779023833512053,,0.07791981101036072,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.0779023833512053
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Memory_c,Focus,,,0.07143183412553004,,0.07159870862960815,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.07143183412553004
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Tempo_a,Focus,,,0.08506464731940441,,0.08427169173955917,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.08506464731940441
phase10_feature_portability_v1,router_family_share,expert_global_share,0.0806,Tempo_b,Focus,,,0.09305196534375584,,0.09481535851955414,,p10,P10_13_2_AP10_00_H1_S1,P10_00,router_family_proxy_points,0.1613,0.09305196534375584
