global_best_valid_mrr20,global_best_test_mrr20,model,model_best_valid_mrr20,model_best_test_mrr20,run_best_valid_mrr20,run_best_test_mrr20,profile_id,parent_profile_id,concept_id,detail_id,parent_run_phase,lr_band_id,lr_lo,lr_hi,lr_center,stage_id,run_phase,run_id,dataset,hparam_id,seed_id,gpu_id,status,n_completed,interrupted,special_ok,result_path,timestamp_utc
0.097300,0.079500,SASRec,0.097300,0.079500,0.097300,0.079500,C1,B3,FOCUS,C1,P17_SB_D00_M01_SASREC_B3_S1,"LR3,LR2",4.959144e-04,2.601245e-03,1.135779e-03,C,P18_SC_D00_M01_P01_SASREC_B3_C1_S1,SC_AMAZON_BEAUTY_SASREC_B3_C1_S1,amazon_beauty,B3_C1,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d00_m01_p01_sasrec_b3_c1_s1_20260329_163224_452284_pid500633.json,2026-03-29T16:32:29.675857Z
0.099600,0.079500,SASRec,0.099600,0.079500,0.099600,0.078900,C2,B3,FOCUS,C2,P17_SB_D00_M01_SASREC_B3_S1,"LR3,LR2",5.090909e-04,2.993760e-03,1.234543e-03,C,P18_SC_D00_M01_P01_SASREC_B3_C2_S1,SC_AMAZON_BEAUTY_SASREC_B3_C2_S1,amazon_beauty,B3_C2,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d00_m01_p01_sasrec_b3_c2_s1_20260329_163234_526588_pid500654.json,2026-03-29T16:32:39.752296Z
0.099600,0.079500,SASRec,0.099600,0.079500,0.099400,0.078900,C3,B3,FOCUS,C3,P17_SB_D00_M01_SASREC_B3_S1,"LR3,LR2",5.208804e-04,3.412886e-03,1.333306e-03,C,P18_SC_D00_M01_P01_SASREC_B3_C3_S1,SC_AMAZON_BEAUTY_SASREC_B3_C3_S1,amazon_beauty,B3_C3,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d00_m01_p01_sasrec_b3_c3_s1_20260329_163244_817536_pid500699.json,2026-03-29T16:32:49.833501Z
0.099600,0.079500,SASRec,0.099600,0.079500,0.097300,0.078900,C4,B3,FOCUS,C4,P17_SB_D00_M01_SASREC_B3_S1,"LR3,LR2",4.480000e-04,2.634509e-03,1.086398e-03,C,P18_SC_D00_M01_P01_SASREC_B3_C4_S1,SC_AMAZON_BEAUTY_SASREC_B3_C4_S1,amazon_beauty,B3_C4,1,0,run_complete,1,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d00_m01_p01_sasrec_b3_c4_s1_20260329_163254_777184_pid500918.json,2026-03-29T16:33:00.922573Z
0.118900,0.085300,SASRec,0.118900,0.085300,0.118900,0.085300,C2,B2,FOCUS,C2,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",5.333333e-04,2.592000e-03,1.175755e-03,C,P18_SC_D01_M01_P01_SASREC_B2_C2_S1,SC_AMAZON_BEAUTY_SASREC_B2_C2_S1,amazon_beauty,B2_C2,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c2_s1_20260330_113208_145014_pid574502.json,2026-03-30T11:32:58.935925Z
0.118900,0.085300,SASRec,0.118900,0.085300,0.113300,0.084100,C4,B2,FOCUS,C4,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",4.693333e-04,2.280960e-03,1.034664e-03,C,P18_SC_D01_M01_P01_SASREC_B2_C4_S1,SC_AMAZON_BEAUTY_SASREC_B2_C4_S1,amazon_beauty,B2_C4,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c4_s1_20260330_113208_175000_pid574504.json,2026-03-30T11:33:14.025708Z
0.119700,0.085300,SASRec,0.119700,0.085300,0.119700,0.084700,C1,B2,FOCUS,C1,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",5.195294e-04,2.252160e-03,1.081695e-03,C,P18_SC_D01_M01_P01_SASREC_B2_C1_S1,SC_AMAZON_BEAUTY_SASREC_B2_C1_S1,amazon_beauty,B2_C1,1,4,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c1_s1_20260330_113208_218627_pid574501.json,2026-03-30T11:33:15.112339Z
0.120600,0.087300,SASRec,0.120600,0.087300,0.120600,0.087300,C3,B2,FOCUS,C3,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",5.456842e-04,2.954880e-03,1.269815e-03,C,P18_SC_D01_M01_P01_SASREC_B2_C3_S1,SC_AMAZON_BEAUTY_SASREC_B2_C3_S1,amazon_beauty,B2_C3,1,6,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c3_s1_20260330_113208_137847_pid574503.json,2026-03-30T11:33:15.179770Z
0.120600,0.087300,SASRec,0.120600,0.087300,0.109900,0.083900,C5,B2,FOCUS,C5,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",3.840000e-04,2.304000e-03,9.406041e-04,C,P18_SC_D01_M01_P01_SASREC_B2_C5_S1,SC_AMAZON_BEAUTY_SASREC_B2_C5_S1,amazon_beauty,B2_C5,1,5,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c5_s1_20260330_113304_148257_pid574688.json,2026-03-30T11:33:26.261628Z
0.126400,0.088200,SASRec,0.126400,0.088200,0.126400,0.088200,C6,B2,FOCUS,C6,P17_SB_D01_M01_SASREC_B2_S1,"LR3,LR2",5.120000e-04,3.386880e-03,1.316846e-03,C,P18_SC_D01_M01_P01_SASREC_B2_C6_S1,SC_AMAZON_BEAUTY_SASREC_B2_C6_S1,amazon_beauty,B2_C6,1,7,run_complete,6,False,True,/workspace/jy1559/FMoE/experiments/run/artifacts/results/baseline/normal/stagec_focus_anchor2_core5/P18/amazon_beauty/SASRec/amazon_beauty_SASRec_p18_sc_d01_m01_p01_sasrec_b2_c6_s1_20260330_113319_356099_pid574769.json,2026-03-30T11:34:21.397572Z
