model,best_mrr20_group,best_mrr20_run,best_mrr20_trial,best_hr10_group,best_hr10_run,best_hr10_trial,test_mrr20_group,test_mrr20_run,test_mrr20_trial,test_hr10_group,test_hr10_run,test_hr10_trial,hit_best_mrr20,hit_best_hr10,hit_test_mrr20,hit_test_hr10,trial_idx,trials_progress,status,run_phase,group_key,experiment_note,trial_knobs,log_rel_path
FeaturedMoE_N2,0.0629,0.0629,0.0629,0.0667,0.0667,0.0667,0.0952,0.0952,0.0952,0.1069,0.1069,0.1069,Y,Y,Y,Y,1,1/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=5.93e-05,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0629,0.0629,0.0608,0.0670,0.0670,0.0670,0.0952,0.0952,0.0899,0.1069,0.1069,0.1032,,Y,,,2,2/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=8.91e-05,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0766,0.0766,0.0766,0.1027,0.1027,0.1027,0.1575,0.1575,0.1575,0.1805,0.1805,0.1805,Y,Y,Y,Y,5,5/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.000318,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0766,0.0766,0.0766,0.1030,0.1030,0.1030,0.1576,0.1576,0.1576,0.1805,0.1805,0.1803,,Y,Y,,6,6/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.000631,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0767,0.1030,0.1030,0.1029,0.1576,0.1576,0.1575,0.1805,0.1805,0.1801,Y,,,,7,7/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.000383,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0765,0.1033,0.1033,0.1033,0.1576,0.1576,0.1573,0.1805,0.1805,0.1804,,Y,,,10,10/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.00024,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0766,0.1033,0.1033,0.1030,0.1580,0.1580,0.1580,0.1809,0.1809,0.1809,,,Y,Y,11,11/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.00096,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0765,0.1033,0.1033,0.1029,0.1580,0.1580,0.1573,0.1813,0.1813,0.1813,,,,Y,12,12/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.00023,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0767,0.1034,0.1034,0.1034,0.1580,0.1580,0.1576,0.1813,0.1813,0.1804,,Y,,,22,22/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.000422,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0766,0.1034,0.1034,0.1030,0.1581,0.1581,0.1581,0.1813,0.1813,0.1797,,,Y,,23,23/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.00107,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0767,0.0767,0.1035,0.1035,0.1035,0.1581,0.1581,0.1575,0.1813,0.1813,0.1813,,Y,,,29,29/30,success,ARCH3_A01,FeaturedMoE_N2,plain L8 scale1,lr=0.00049,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_687_s00_router_feature_heavy_v1_ARCH3_A01.log
FeaturedMoE_N2,0.0767,0.0764,0.0764,0.1035,0.1030,0.1030,0.1581,0.1570,0.1570,0.1813,0.1808,0.1808,Y,Y,Y,Y,1,1/30,success,ARCH3_A02,FeaturedMoE_N2,plain L30 scale1 inter:ffn,lr=0.00027,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_707_s00_router_feature_heavy_v1_ARCH3_A02.log
FeaturedMoE_N2,0.0767,0.0764,0.0764,0.1035,0.1030,0.1030,0.1581,0.1571,0.1571,0.1813,0.1808,0.1806,,,Y,,5,5/30,success,ARCH3_A02,FeaturedMoE_N2,plain L30 scale1 inter:ffn,lr=0.000242,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_707_s00_router_feature_heavy_v1_ARCH3_A02.log
FeaturedMoE_N2,0.0767,0.0764,0.0764,0.1035,0.1034,0.1034,0.1581,0.1571,0.1570,0.1813,0.1808,0.1808,,Y,,,10,10/30,success,ARCH3_A02,FeaturedMoE_N2,plain L30 scale1 inter:ffn,lr=0.000235,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_707_s00_router_feature_heavy_v1_ARCH3_A02.log
FeaturedMoE_N2,0.0767,0.0764,0.0758,0.1035,0.1034,0.1009,0.1581,0.1574,0.1574,0.1813,0.1808,0.1792,,,Y,,20,20/30,success,ARCH3_A02,FeaturedMoE_N2,plain L30 scale1 inter:ffn,lr=0.00124,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_707_s00_router_feature_heavy_v1_ARCH3_A02.log
FeaturedMoE_N2,0.0767,0.0519,0.0519,0.1035,0.0677,0.0677,0.1581,0.0702,0.0702,0.1813,0.0931,0.0931,Y,Y,Y,Y,1,1/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000172,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0642,0.0642,0.1035,0.0684,0.0684,0.1581,0.0905,0.0905,0.1813,0.0979,0.0979,Y,Y,Y,Y,2,2/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000107,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0765,0.0765,0.1035,0.1026,0.1026,0.1581,0.1572,0.1572,0.1813,0.1803,0.1803,Y,Y,Y,Y,3,3/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000388,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0765,0.0765,0.1035,0.1034,0.1034,0.1581,0.1572,0.1570,0.1813,0.1803,0.1795,,Y,,,8,8/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000261,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0766,0.0766,0.1035,0.1035,0.1035,0.1581,0.1572,0.1571,0.1813,0.1806,0.1806,Y,Y,,Y,10,10/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000192,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0766,0.0765,0.1035,0.1035,0.1033,0.1581,0.1573,0.1573,0.1813,0.1806,0.1803,,,Y,,16,16/30,success,ARCH3_A03,FeaturedMoE_N2,plain L16 scale1,lr=0.000276,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_728_s00_router_feature_heavy_v1_ARCH3_A03.log
FeaturedMoE_N2,0.0767,0.0559,0.0559,0.1035,0.0652,0.0652,0.1581,0.0764,0.0764,0.1813,0.0907,0.0907,Y,Y,Y,Y,1,1/30,success,ARCH3_A04,FeaturedMoE_N2,plain L19 scale1 bal0,lr=7.05e-05,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_762_s00_router_feature_heavy_v1_ARCH3_A04.log
FeaturedMoE_N2,0.0767,0.0559,0.0558,0.1035,0.0652,0.0637,0.1581,0.0772,0.0772,0.1813,0.0907,0.0902,,,Y,,3,3/30,success,ARCH3_A04,FeaturedMoE_N2,plain L19 scale1 bal0,lr=4.47e-05,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_762_s00_router_feature_heavy_v1_ARCH3_A04.log
FeaturedMoE_N2,0.0767,0.0766,0.0766,0.1035,0.1034,0.1034,0.1581,0.1566,0.1566,0.1813,0.1796,0.1796,Y,Y,Y,Y,5,5/30,success,ARCH3_A04,FeaturedMoE_N2,plain L19 scale1 bal0,lr=0.000172,KuaiRecLargeStrictPosV2_0.2/FMoEN2/20260312_171711_762_s00_router_feature_heavy_v1_ARCH3_A04.log
