early_stopped,epochs_run,feature_ablation.feature_shuffle_delta_mrr,feature_ablation.feature_zero_delta_mrr,feature_ablation.route_change_under_feature_shuffle,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,0.0,0.0,0.02488715888856685,0.0,0.21781258285045624,0.0,1.3578673515207669,0.12981250882148743,0.02113032527267933,3.818825609588436,0.0,0.0,0.0,0.8749465126230209,0.0668,ok,0.1519,0.1449,1
True,11,0.0,0.0,0.06494747884660515,0.0,0.15851236879825592,0.0,1.3669671611229588,0.2198362648487091,0.10482707619667053,3.9019589898389198,0.0,0.0,0.0,0.6640026502132593,0.0668,ok,0.1453,0.1336,2
True,20,0.000899999999999998,0.0,0.13848744599500323,0.0,0.41258612275123596,0.0,0.8742380070732743,0.02974526584148407,-0.28360915184020996,3.4181393964373328,0.0,0.0,0.0,0.516398194542217,0.0757,ok,0.1756,0.1566,3
True,17,0.000899999999999998,0.0,0.10411404198931634,0.0,0.3381680145063383,0.0,0.9281233851341325,0.11093395203351974,-0.2693120539188385,3.5895120502349775,0.0,0.0,0.0,0.4370022223142435,0.0756,ok,0.1762,0.1575,4
True,20,0.0007000000000000062,0.0,0.09829254489488867,0.0,0.3171159029006958,0.0,0.9791881802386573,0.18509890139102936,-0.2689705491065979,3.6345052369498148,0.0,0.0,0.0,0.4039090645575386,0.0757,ok,0.1759,0.1569,5
True,30,0.000899999999999998,0.0,0.12684790260466272,0.0,0.44413578510284424,0.0,0.9041825942585614,0.25801968574523926,-0.2777726352214813,3.340971448075516,0.0,0.0,0.0,0.5366785374135575,0.0759,ok,0.1768,0.1569,6
True,41,0.0007000000000000062,0.0,0.1450922743522851,0.0,0.4766239821910858,0.0,0.8553817790936823,0.24533146619796753,-0.27664700150489807,3.259530852751613,0.0,0.0,0.0,0.5623076179828013,0.0756,ok,0.1757,0.1556,7
True,11,-0.0002999999999999947,0.0,0.014941957568981427,0.0,0.30633220076560974,0.0,1.329065194318778,0.41823825240135193,0.30701079964637756,3.6568431368104246,0.0,0.0,0.0,0.9538973318425884,0.0651,ok,0.1109,0.0995,8
True,11,-0.00020000000000000573,0.0,0.0036302400375447194,0.0,0.3470138907432556,0.0,1.3174140853615401,0.4481065273284912,0.3410682678222656,3.5700944125347704,0.0,0.0,0.0,0.9839365329137162,0.0643,ok,0.108,0.0961,9
True,12,0.0,0.0,0.03710988722790458,0.0,0.2132137566804886,0.0,1.3586111603568816,0.1547551155090332,0.029286034405231476,3.826066610375994,0.0,0.0,0.0,0.7044184024183195,0.067,ok,0.1505,0.14,10
