global_best_valid_mrr20,run_best_valid_mrr20,run_phase,exp_brief,stage,trigger,dataset,seed_id,gpu_id,status,test_mrr20,n_completed,interrupted,special_ok,diag_ok,result_path,timestamp_utc,architecture_id,architecture_name,tuning_stage,family_id,family_group,variant_id,capacity_anchor,selected_from_stage,selection_score,search_algo,source_family_id,stage_group,template_count,combo_band,main_eval_target_mode,history_input_mode,history_eval_policy,aux_route_consistency_lambda,aux_z_loss_lambda
0.372900,0.372900,FH1_FH_RETAIL_ROCKET_R01_H13_WIDTH_VALIDATE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,retail_rocket,1,4,running,0.373700,,,,,,2026-04-16T13:04:42.680739Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R01_h13_width_validate,full_history_combo,prior_strong,H13,R15_h13_width_lr_validate,best retail line by both valid and test among the current portfolio,tpe,R15_h13_width_lr_validate,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.373000,0.373000,FH1_FH_RETAIL_ROCKET_R04_H6_REGULARIZED_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,retail_rocket,1,5,running,0.371200,,,,,,2026-04-16T13:19:49.053912Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R04_h6_regularized,full_history_combo,prior_strong,H6,R02_h6_regularized,regularized compact retail line that stayed competitive on both valid and test,tpe,R02_h6_regularized,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.374200,0.374200,FH1_FH_RETAIL_ROCKET_R02_H13_WIDTH_REFINE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,retail_rocket,1,0,running,0.374200,,,,,,2026-04-16T13:23:28.336966Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R02_h13_width_refine,full_history_combo,prior_strong,H13,R10_h13_width_refine,width-up retail winner with top valid and strong test,tpe,R10_h13_width_refine,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.374200,0.374200,FH1_FH_RETAIL_ROCKET_R02_H13_WIDTH_REFINE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,0,run_complete_no_result,0.374200,,,False,False,,2026-04-16T13:32:20.805778Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R02_h13_width_refine,full_history_combo,prior_strong,H13,R10_h13_width_refine,width-up retail winner with top valid and strong test,tpe,R10_h13_width_refine,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.374200,0.373300,FH1_FH_RETAIL_ROCKET_R01_H13_WIDTH_VALIDATE_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,4,run_complete_no_result,0.371600,,,False,False,,2026-04-16T13:34:03.767537Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R01_h13_width_validate,full_history_combo,prior_strong,H13,R15_h13_width_lr_validate,best retail line by both valid and test among the current portfolio,tpe,R15_h13_width_lr_validate,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.374200,0.374100,FH1_FH_RETAIL_ROCKET_R04_H6_REGULARIZED_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,5,run_complete_no_result,0.373000,,,False,False,,2026-04-16T13:40:35.043321Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R04_h6_regularized,full_history_combo,prior_strong,H6,R02_h6_regularized,regularized compact retail line that stayed competitive on both valid and test,tpe,R02_h6_regularized,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.374200,0.371800,FH1_FH_RETAIL_ROCKET_R07_FH_H15_SHORT_ATTACK_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,3,run_complete_no_result,0.372600,,,False,False,,2026-04-16T13:49:51.517961Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R07_fh_h15_short_attack,full_history_combo,full_history_aggressive,H15,R17_h15_short_attack,keep the short-context retail attack as a counter-hypothesis under longer history,tpe,R17_h15_short_attack,full_history,8,full_history_aggressive,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.374200,0.373700,FH1_FH_RETAIL_ROCKET_R03_H3_TRANSFER_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,2,run_complete_no_result,0.374400,,,False,False,,2026-04-16T13:52:58.467108Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R03_h3_transfer,full_history_combo,prior_strong,H3,R07_h3_xfer_refine,strong H3 transfer line with decent valid and durable test,tpe,R07_h3_xfer_refine,full_history,8,prior_strong,seen_target,full_history_session_targets,strict_train_prefix,0.0007,0.00015
0.374500,0.374500,FH1_FH_RETAIL_ROCKET_R08_FH_H6_DIMLIFT_ATTACK_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,trial_new_best,retail_rocket,1,6,running,0.373400,,,,,,2026-04-16T13:53:40.524427Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R08_fh_h6_dimlift_attack,full_history_combo,full_history_aggressive,H6,R18_h6_dimlift_attack,regularized H6 backbone with width lift under full-history,tpe,R18_h6_dimlift_attack,full_history,8,full_history_aggressive,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
0.374500,0.371900,FH1_FH_RETAIL_ROCKET_R05_FH_H13_LEN25_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,1,run_complete_no_result,0.370300,,,False,False,,2026-04-16T13:57:53.545073Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R05_fh_h13_len25,full_history_combo,full_history_conservative,H13,R15_h13_width_lr_validate,retail width family with slightly longer crop and reduced lr for full-history,tpe,R15_h13_width_lr_validate,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.0005,0.0001
0.374500,0.373900,FH1_FH_RETAIL_ROCKET_R06_FH_H3_LEN25_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,7,run_complete_no_result,0.371000,,,False,False,,2026-04-16T14:07:55.027004Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R06_fh_h3_len25,full_history_combo,full_history_conservative,H3,R07_h3_xfer_refine,H3 retail transfer family re-opened with a modestly longer prefix window,tpe,R07_h3_xfer_refine,full_history,8,full_history_conservative,seen_target,full_history_session_targets,strict_train_prefix,0.0007,0.00015
0.374500,0.374500,FH1_FH_RETAIL_ROCKET_R08_FH_H6_DIMLIFT_ATTACK_S1,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,run_complete,retail_rocket,1,6,run_complete_no_result,0.373400,,,False,False,,2026-04-16T14:12:05.011179Z,A12,A12_ATTN_MICRO_BEFORE_NO_BIAS_ALL_W5,full_history,R08_fh_h6_dimlift_attack,full_history_combo,full_history_aggressive,H6,R18_h6_dimlift_attack,regularized H6 backbone with width lift under full-history,tpe,R18_h6_dimlift_attack,full_history,8,full_history_aggressive,seen_target,full_history_session_targets,strict_train_prefix,0.0008,0.0002
